Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Asthma by 2 years of age,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,43,474,46,480,0.963712,0.647137,1.435155,,,0.0,,,2.188202,3,0.534276,0.0,0.181915,,0.85565,,,,,analysis:396504723426545764
1,2,Eczema by 2 years of age,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,524,1819,570,1675,0.871888,0.78258,0.971388,,,0.007059,,,19.741268,17,0.287677,13.885976,2.486474,,0.012902,,,,,analysis:452445066101797677
1,3,"Allergic rhinitis by 2 years ","Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,15,518,18,527,0.891067,0.449552,1.766205,,,0.0,,,2.24089,4,0.691551,0.0,0.330406,,0.741093,,,,,analysis:452464802974712880
1,4,Food allergy by 2 years,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,40,412,42,445,1.118928,0.57004,2.19634,,,0.166384,,,3.798823,2,0.149657,47.352116,0.326568,,0.743995,,,,,analysis:452464844200002613
1,5,Cow's milk protein allergy by 2 years,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,17,131,19,128,0.989043,0.817326,1.196836,,,0.0,,,0.793368,3,0.851053,0.0,0.113238,,0.909842,,,,,analysis:452465933463898136
1,6,Sensitivity analysis: eczema by 2 years by definition of allergic disease,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,647,2808,687,2520,0.860739,0.762219,0.971992,,,0.027212,,,38.532202,26,0.054002,32.52397,2.418,,0.015606,0.092356,1,0.761203,0.0,analysis:452445104139678714
1,7,Sensitivity analysis: eczema by 2 years by risk of bias,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,119,527,103,365,0.859012,0.686743,1.074496,,,0.0,,,2.339336,3,0.505027,0.0,1.330779,,0.183262,,,,,analysis:454709581079675913
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,530,1874,584,1728,0.85538,0.762365,0.959744,,,0.011873,,,22.677513,18,0.203288,20.626216,2.659506,,0.007826,0.281592,1,0.59566,0.0,analysis:452466039209379921
1,9,Subgroup analysis: eczema by 2 years by method of feeding,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,458,1556,494,1406,0.878767,0.792166,0.974834,,,0.002332,,,16.793163,16,0.399102,4.723132,2.441477,,0.014627,1.519299,1,0.217726,34.180164,analysis:452466751067179576
1,10,Subgroup analysis: eczema by 2 years by probiotic type,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,496,1695,582,1710,0.853893,0.759066,0.960567,,,0.012773,,,22.881466,18,0.195186,21.333712,2.629803,,0.008543,2.781208,1,0.095376,64.044406,analysis:452467324566686869
