Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Abrahamsson 2007,2007,PUB,2621274,"<p>Double-blind, randomised, placebo-controlled trial.</p>","<p><b>Inclusion criteria:</b> families with allergic disease (1 or more family members with eczema, asthma, gastrointestinal allergy, allergic urticaria, or allergic rhinoconjunctivitis) recruited at antenatal clinics.</p>
<p><br><b>Exclusion criteria: </b>mother reporting peanut allergy. Infants admitted to neonatal unit in first week. Insufficient compliance led to exclusion of participants from the study.</p>","<p><b>Treatment (n = 117): </b>Lactobacillus reuteri 1x10<sup>8</sup> cfu daily (freeze-dried, suspended in coconut and peanut oil) given to mother for 4 weeks before delivery, mother and baby daily for 12 months after delivery.</p>
<p><br><b>Control (n = 115): </b>placebo (same oil).<br>
 Co-interventions: infants breast-fed. When weaned, given whey hydrolysate formula to 6 months (both groups).</p>
<p>Mothers were encouraged to breastfeed. At weaning, babies were offered a hypoallergenic whey hydrolysate until 6 months of age.&nbsp;</p>","<p><b>Primary outcomes:</b> eczema and sensitisation in first 2 years conducted by a paediatrician. SPTs were performed at 6, 12 and 24 months of age. Circulating IgE antibodies to common allergens were assessed at 6, 12 and 24 months of age. Follow up study at 7-years, allergic disease and skin prick test reactivity were assessed.Follow up assessment by research nurse and structured telephone interview up to 2 years.&nbsp;</p>
<p><br><b>Other outcomes:</b> symptoms of allergic disease, adverse events, infections, use of antibiotics and possible confounding factors and inspection of the skin. SCORAD index was used to assess the severity of eczema. Records from primary care units, private paediatricians and the paedatric clinics were examined if parents reported that child had been examined by physician. Outcomes of the study are assessed as per diagnostic criteria described in the study.<br>
 &nbsp;</p>
<p><b>Definitions: </b>eczema is physician confirmed. SCORAD score used. Defined as pruritic, chronic or chronically relapsing non-infectious dermatitis with typical features and distribution.</p>
<p>Gastrointestinal allergy required vomiting, diarrhoea, or systemic reaction after ingestion of a potentially allergenic food and a confirmation by challenge, unless there was a clear history of a severe systemic reaction.&nbsp;<br>
 Infants were regarded as sensitised if they had at least 1 positive SPT or detectable circulating allergen specific-IgE antibodies, or both.<br>
 Allergic disease assessed at 7 years of age (±3 months) included asthma, allergic rhinoconjunctivitis (ARC), allergic urticaria and eczema.&nbsp;</p>
<p><br>
 Asthma diagnosis required at least 1 of following 2 criteria:</p>
<ul>
 <li>doctor diagnosis and asthma symptoms or medication, or both, during the last 12 months; and</li>
 <li>wheeze or nocturnal cough and a positive reversibility test or pathological FE<sub>NO</sub> value, or both.&nbsp;</li>
</ul>
<p>Diagnosis of ARC based on standard ISAAC question and required watery discharge at least twice in contact with the same allergen and no sign of infection.<br>
 Had symptoms of or has been treated for the actual allergic disease during the last 12 months, or both.&nbsp;</p>","<p><b>Sponsor: </b>Grants from BioGaia AB, Stockholm, Sweden, the Ekhaga Foundation, the Heart and Lung foundation, the Research Council for the South-East Sweden (grant No. F2000-106), the Swedish Asthma and Allergy Association, the Swedish Research Council and the University Hospital of Linköping, Sweden.</p>
<p>2011 update: Additional publications; no additional allergy or food hypersensitivity data. 2023 update: Additional publications; addition of 7-year follow up data on allergic disease and skin prick test reactivity. Allergic disease at (quote:) ""2 years and/or 7 years"" included in analysis under childhood incidence. Prevalence of allergic disease (quote:) ""between six and 7 yr of age"" included in analysis under childhood prevalence.&nbsp;</p>
<p><b>Declaration of interests:</b> B. Björkstén has consulting arrangements with BioGala Inc. The rest of authors have declared that they have no conflict of interest.</p>"
Allen 2014,2014,PUB,23696192,"<p>Randomised, double-blind, placebo-controlled, parallel group trial.</p>","<p><b>Inclusion criteria: </b>women 16 years or older with a normal singleton pregnancy. The intention was to recruit infants at high risk of developing atopy; however, sufficient details of atopy in first-degree relatives were often difficult to obtain at recruitment. Therefore, infants with and without increased risk of atopy were recruited.</p>
<p><b>Exclusion criteria: </b>any known adverse condition affecting the woman, foetus, or the likely outcome of the pregnancy; if a member of the foetus’s sibship or household was already recruited to the study; or if the woman was unwilling to discontinue use of other live bacterial dietary supplements</p>","<p><b>Treatment (n = 220): </b>probiotic supplement Lactobacillus salivarius LS33 6.25x10<sup>9</sup> cfu, Lactobacillus paracasei CUL08 1.25x10<sup>9</sup> cfu, Bifidobacterium infantis Bi07 1.25x10<sup>9</sup> cfu and Bifidobacterium bifidum CUL20 1.25 x 10<sup>9</sup> cfu.&nbsp;</p>
<p><br><b>Control (n = 234): </b>maltodextrin 100 mg.<br>
 Mother from 36 weeks' gestation until delivery. Infant from birth to 6 months.<br>
 Weeks (median (range)) exclusively breast-fed, treatment group (n = 167): 2 (0 – 8); control (n = 161): 3 (0 – 8).</p>
<p>Both arms received 1 capsule daily from 36 weeks' gestation until delivery. Infants received the same capsules as their mother 1x daily from birth to age 6 months. Contents of the capsule were sprinkled directly into the infant's open mouth or mixed with expressed breast milk or formula feed.</p>","<p><b>Primary outcomes</b>: the cumulative frequency of diagnosed eczema (assessed by the SCORAD system) at the 2-year follow up (reported by a parent to have been diagnosed by a clinician or assessed by a study clinician or trained research personnel). Changes to symptoms and adverse effects related to atopy.</p>
<p><b>Other outcomes:</b> responses to SPTs, atopic eczema defined as eczema with 1 or more positive SPTs, eczema of any duration and whether or not diagnosed by health professional, severity of eczema, treatment with topical steroid preparations, respiratory symptoms with asthma and allergic rhinitis and reported food allergies.</p>
<p><b>Definition:</b> eczema defined as an itchy rash affecting the face, scalp or extensor surfaces of the limbs in infants and flexures in older children and of duration ≥ 4 weeks and with ≥ 1 exacerbation by age 24 months.</p>","<p><b>Sponsor:</b> knowledge exploitation fund, Collaborative Industrial Research Project number: HE 09 COL 1002, Welsh Assembly Government (UK)</p>
<p><b>Declaration of interests: </b>SFP is a director of Cultech. IG reports grants from Cultect UK, during the conduct of the study. SJA reports a grant from Yakult UK outside the submitted work. The remaining authors declared that they have no competing interests.&nbsp;</p>"
Cabana 2007,2007,MIX,22958592,"<p>Randomised, double-blind, placebo-controlled trial.</p>","<p><b>Inclusion criteria: </b>newborns at increased risk of atopy, defined as at least 1 biological parent with a history of asthma. Parents had to speak and read English or Spanish. Recruitment occurred during the third trimester of pregnancy, with random assignment of infants occurring within 4 days after birth.</p>
<p><b>Exclusion criteria: </b>any major congenital birth deformities, acute illness at enrolment (within 4 days after the newborn infant's birth), or any condition affecting food intake or metabolism.</p>","<p><b>Treatment (n = 92):</b> daily capsule of 10 billion colony-forming units of LGG and 225 mg of inulin for the first 6 months of life.</p>
<p><b>Control (n = 92):</b> daily capsule of 325 mg of inulin for the first 6 months of life.</p>
<p>The intervention started within the first 4 days of life. The supplement was dissolved in 2mL of pumped breast milk, infant formula or sterile water and fed to the infant. To promote breast-feeding, all participating families were encouraged to use breast-feeding and were provided with a breast pump.</p>","<p><b>Primary outcome:</b> incidence of eczema within 2 years of birth. This was assessed at 5 timepoints (1, 2, 6, 12 and 24 months) by a clinical examination performed by a study clinician.</p>
<p><b>Other outcomes:</b> incidences of asthma and allergic rhinitis within 5 years of birth. This was assessed by a parental telephone survey conducted monthly during the first year of life, then semiannually thereafter. Questions included: any diagnoses of asthma, allergic rhinitis or eczema by a health care professional.</p>
<p><b>Definition:</b> the diagnosis of asthma is difficult to establish at a young age, therefore the study focusses on early markers of asthma including a history of frequent wheezing, wheezing without colds, atopic dermatitis and rhinitis using a standard history assessment developed by&nbsp;Castro-Rodriguez 2000.</p>","<p><b>Sponsor: </b>funded by the Clinical and Translational Science Institute (UL1 RR024131) at the University of California, San Francisco, and by the National Institutes of<br>
 Health, HL 080074. Funded by the National Institutes of Health (NIH).Parental telephone survey-Additional question regarding feeding practices (breast milk only/formula only/combination/other/does not apply) were asked to assess for potential confounding.</p>
<p><b>Declaration of interests: </b>Dr Lynch was a co-founder and served on the board of directors for Siolta Therapeutics, a microbiome therapeutics company. Dr Cabana has served as a paid scientific consultant to BioGaia, Mead Johnson Nutrition, Nestle, and Wyeth (unrelated to the study), has received grant funding from Nestec (unrelated to study), and has served on the Merck Speakers Bureau for topics focused on medication adherence (unrelated to study); and other authors have indicated they have no potential conflicts of interest to disclose.</p>"
Dissanayake 2018,2018,PUB,22958408,"<p>&nbsp; 2 × 2 factorial, randomised, non-treatment controlled trial.</p>","<p><b>Inclusion criteria:</b> families who attended the antenatal clinic were recruited into the study. Following delivery, the babies were recruited if they were born at term and written informed consent was available from parent(s)/guardian. A family history of atopy was not required for inclusion.&nbsp;</p>
<p><b>Exclusion criteria: </b>infants born pre-term, experience complications due to severe underlying disease were excluded from the study. HBV or HIV positivity of mother at the time of birth or any other inappropriate status as judged by the physician.&nbsp;</p>","<p><b>Synbiotic and skincare (n = 137): </b>combination of 0.5 g (7 × 10<sup>9</sup> CFU/g) of <i>Bifidobacterium bifidum</i>OLB6378 (Meiji Holdings Co. Ltd., Japan) combined with 0.5 g of fructo-oligosaccharides (Meiji Food Materia Co., Ltd., Japan) twice a day and Locobase® REPAIR Cream (Daiichi Sankyo, Japan) which contains ceramide, cholesterol, and free fatty acids 2 - 3 times a day. Intervention was carried out from birth to 6 months of age.&nbsp;</p>
<p><b>Synbiotic only (n = 137): </b>combination of 0.5 g (7 × 10<sup>9</sup> CFU/g) of <i>Bifidobacterium bifidum</i>OLB6378 (Meiji Holdings Co. Ltd., Japan) combined with 0.5 g of fructo-oligosaccharides (Meiji Food Materia Co., Ltd., Japan) 2x a day from birth to 6 months of age.&nbsp;</p>
<p><b>Skincare only (n = 138):</b> locobase® REPAIR Cream (Daiichi Sankyo, Japan) which contains ceramide, cholesterol, and free fatty acids 2 - 3 times a day from birth to 6 months.</p>
<p><b>Control (n = 137): </b>the control group did not receive any synbiotics. The no treatment group was not prevented from applying emollients due to ethical reasons.&nbsp;</p>","<p><b>Primary outcome:</b> development of atopic dermatitis by 1 year of age.&nbsp;</p>
<p><b>Secondary outcome:</b> prevalence of food allergy. Sensitisation to food or inhalant allergens or both. EASI score examined by a paediatrician.&nbsp;</p>
<p><b>Definitions:</b> atopic dermatitis was diagnosed according to the criteria of the Japanese Dermatological Association (Katayama 2017), and using the UK Working Party's Diagnostic Criteria (William 1994), included in the questionnaire at 1 year. Defined as itchy rash lasting 2 or more months was reported in the questionnaires returned at 1, 6, and 9 months and 1 year of the baby’s age.&nbsp;</p>
<p>Food allergy reported in the questionnaire at 1 year. Sensitisation to food or inhalant allergens in total, or both, and allergen-specific IgE levels in blood sampled at 9 months of age.</p>","<p><b>Sponsor: </b>supported by the Environmental Restoration and Conservation Agency of Japan in fiscal years 2014 - 2016. Grants from the Japan Agency for Medical Research and Development.</p>
<p>The incidence of AD at 1 year according to the UKWP diagnostic criteria has been used for analysis in this review.</p>
<p><b>Declaration of interest: </b>no conflicts of interest to disclose</p>"
Hascoët 2011,2011,PUB,22958412,"<p>Randomised, double-blind, controlled trial.</p>","<p><b>Inclusion criteria: </b>healthy, full-term infants whose mothers had chosen to feed their infants exclusively with either breast milk or with formula starting from day 7 of birth until they were 4 months old. Infants had to be ≤ 7 days old at enrollment, weigh between 2500 and 4500 g, and be singletons.&nbsp;</p>
<p><b>Exclusion criteria:</b> congenital illnesses or malformations that could affect normal growth; significant prenatal or postnatal disease or both; been rehospitalised for more than 2 days in the first 14 days of life (with the exception of infants that were rehospitalised because of jaundice); received antibiotics prenatally, at the time of enrollment, or during the 5 days preceding enrollment; received probiotic- or prebiotic-containing formulas at the time of enrollment. Caregivers who were not expected to comply with the study requirements. Infants participating in a different study were excluded.</p>","<p><b>Study formula group (n = 39): </b>study formula with low protein and phosphate content, high lactose and contained predominantly whey protein was given to infants from birth to 4 months of age.&nbsp;</p>
<p><b>Study formula + BL999 (n = 40): </b>study formula with low protein and phosphate content, high lactose and contained predominantly whey protein supplemented with 2 × 10<sup>7</sup> colony-forming units (CFU)/g of <i>B longum</i>, strain BL999 (ATCC: BAA-999 designation BB536, Morinaga, Japan; NCC3001) was given to infants from birth to 4 months of age.&nbsp;</p>
<p><b>Control formula (n = 38):</b> control formula was given to infants from birth to 4 months of age.&nbsp;</p>
<p>Breast-fed (n = 73): infants exclusively breastfed from birth to 4 months of age.&nbsp;</p>","<p><b>Primary outcome:</b> bifidobacterial counts at the 2-month visit.&nbsp;</p>
<p><b>Secondary outcomes: </b>non-<i>Bifidobacteria</i> bacterial counts, weight, length, head circumference, digestive tolerance, stool IgA, and the occurrence of adverse events.&nbsp;</p>
<p><b>Definitions:</b> adverse events were defined as illnesses or signs and symptoms of illnesses that occurred or worsened during the course of the study. Specific definitions for allergy-skin problems not included.&nbsp;</p>","<p><b>Sponsor:</b> Nestlé, Konolfingen, Switzerland was the sponsor of the study and also manufactured the formulas.&nbsp;</p>
<p>Only infants in the study formula group and study formula + BL999 group have been included for analysis in this review. (Quote:) ""Allergy-skin problems"" data points included in the analysis as eczema.</p>
<p><b>Declaration of interest:</b> PGS is an employee of Nestlé Nutrition, Nestec Ltd. The other authors reported no conflicts of interest.</p>"
Kalliomaki 2001,2001,PUB,24344284,"<p>Randomised, double-blind, placebo-controlled trial.</p>","<p><b>Inclusion criteria: </b>family history of atopic disease: ≥ 1 family member (mother, father, or older sibling) with atopic eczema, allergic rhinitis, or asthma. Families were recruited in antenatal clinics.<br><b>Exclusion criteria:</b> none reported.</p>","<p><b>Treatment (n = 77): </b>Lactobacillus rhamnosus GG 1 x 10<sup>10</sup> cfu prenatally to mothers and postnatally whilst breastfeeding up to 6 months; if not breast-fed given to infants mixed with water on spoon.</p>
<p><br><b>Control (n = 82): </b>placebo (microcrystalline cellulose).</p>
<p>Mean time exclusive and total time of breastfeeding children given placebo 2 to 7 months and 6·4 months, respectively, and those on Lactobacillus GG 3·0 months and 7·2 months, respectively.</p>","<p><b>Primary outcomes:</b> atopic disease at 2 and 4 years.</p>
<p><b>Other outcomes:</b> blinded physician assessment for atopy.</p>
<p><b>Definitions: </b>eczema: pruritis, facial or extensor involvement, or both, and chronic relapsing course (for 1 month or longer at the 24-month visit and on at least 1 &nbsp;previous visit. The SCORAD index used to assess eczema severity.&nbsp;<br>
 Allergic rhinitis: most days 2 or more of: nasal discharge, blockage, sneezing, and itching.<br>
 Asthma: based on an algorithm created by an international paediatric asthma consensus group. Diagnosed if infant had chronic or recurrent cough, wheeze or shortness of breath, or both, suggestive of asthma, and if other diagnoses were excluded and trial antiasthma treatment was effective.<br>
 Sensitisation measured by: skin-prick tests at 6, 12, and 24 months; and total and specific IgE assays on cord blood and at 3, 12, and 24 months.</p>
<p>4 years reported prevalence of eczema, asthma, allergic rhinitis (DBPCFC).</p>
<p>7 years reported cumulative incidence of eczema and prevalence of allergic rhinitis and asthma. Cumulative incidence eczema calculated from percentages reported.</p>","<p><b>Sponsor: </b>Finnish Foundation for Paediatric Research, the National Technology Agency of Finland, and the Allergy Research Foundation in Finland. 2023 update:&nbsp; Additional publications; addition of 4-year and 7-year follow-up data on allergic disease. Allergic disease persisted up to the age of 4 years included in analysis under childhood incidence. Skin prick test reactivity and allergic disease at 7-years of age included in analysis under childhood prevalence.</p>
<p><b>Declaration of interests:</b> not reported.</p>"
Kim 2010,2010,PUB,2621297,"<p>Randomised, double-blind, placebo-controlled trial.</p>","<p><b>Inclusion criteria: </b>pregnant women with a family history of allergic diseases. A family history of allergic diseases defined as:</p>
<ul>
 <li>at least 1 &nbsp;parent or older sibling of the foetus had eczema, as confirmed by a paediatric allergist; or</li>
 <li>1 of the parents diagnosed with asthma or allergic rhinitis, or both, by a physician, showing house dust mite-specific IgE &gt; 1.0 kU/L by CAP-FEIA immunoassay.</li>
</ul>
<p><b>Exclusion criteria:</b></p>
<ul>
 <li>premature babies delivered &lt; 36 weeks of gestation;</li>
 <li>infants with immune deficiency disease, necrotising enterocolitis, or congenital disorders; or</li>
 <li>those requiring anticancer treatment or a central venous catheter.</li>
</ul>","<p><b>Treatment (n = 57): </b>mothers in the probiotic group took a mixture of Bifidobacterium bifidum BGN4 [1.6 x 10<sup>9</sup> cfu], Bifidobacterium lactis AD011 (1.6 x 10<sup>9</sup> cfu), and Lactobacillus acidophilus AD031 (1.6 x 10<sup>9</sup> cfu) in 0.72 g of maltodextrin and 0.8 g of alpha-corn (Bifido Inc., Hongchungun, Korea) once daily from 8 weeks before the expected delivery to 3 months after delivery. Infants were fed the same powder dissolved in breast milk, infant formula, or sterile water from 4 to 6 months of age.</p>
<p><b>Control (n = 55): </b>mothers and infants in the placebo group took maltodextrin and alpha-corn without probiotic bacteria.</p>
<p>Mean duration exclusive breastfeeding probiotic group 5.97 months and control group 5.26 months.</p>","<p><b>Primary outcomes: </b>eczema and sensitisation against common food allergens. Infants were followed up to 1 year of age, involving examinations at 3, 6, and 12 months to assess the occurrence of eczema. Venous blood was obtained at 12 months to measure total IgE and specific IgE against common food allergens</p>
<p><b>Other outcomes:</b> clinical histories such as gestational age, birth weight, caesarean section delivery, mothers age, duration of breastfeeding, diet, fever (‡ 38.5C), respiratory tract infection, hospitalisation, acute gastroenteritis, and use of antibiotics.&nbsp;</p>
<p><br><b>Definitions:</b></p>
<p>Diagnosis of eczema was confirmed when the skin lesions met the criteria of Hanifin and Rajka (Hanifin 1980).<br>
 The severity of eczema was determined using the 'Six Area Six Sign in Atopic dermatitis (SASSAD) score'.<br>
 12 months total IgE and specific IgE against common food allergens (egg white, cow's milk, wheat, peanut, soybean, and buckwheat) using CAP-FEIA (Pharmacia, Uppsala, Sweden). Antigen-specific IgE levels &gt; 0.35 kU/L were considered positive. Probable egg allergy defined when the egg white-specific IgE level ≻ 2 kU/L. IgE associated eczema reported. However, antigen-specific results not reported for symptomatic infants.</p>","<p><b>Sponsor:</b> no commercial sponsor reported. Supported by grants (A060546 and A080664) from the Ministry for Health, Welfare and Family Affairs, Republic of Korea.</p>
<p><b>Declaration of interests: </b>not reported.</p>"
Kopp 2008,2008,PUB,2621304,"<p>Double-blind, randomised, placebo-controlled prospective trial.</p>","<p><b>Inclusion criteria: </b>pregnant women with:</p>
<ul>
 <li>an uneventful pregnancy;</li>
 <li>absence of underlying chronic disease; and</li>
 <li>a family history of atopic disease: 1 family member (mother, father, or older sibling) with AD, allergic rhinitis, or asthma and a confirmed allergic sensitisation against an inhalant allergen.</li>
</ul>
<p><b>Exclusion critiera</b>: none stated.</p>","<p><b>Treatment (n = 54):</b> L. rhamnosus GG (ATCC 53103) containing 5 x 10<sup>9</sup> cfu daily for 4 – 6 weeks before expected delivery. Capsules taken post-natally for 6 months. Directly after delivery, breastfeeding mothers took the capsules; otherwise, children received the agents (n = 2 in the LGG group, n = 3 in the placebo group). After 3 months, capsules were given only to the neonates.</p>
<p><b>Control (n = 51): </b>placebo (microcrystalline cellulose).</p>
<p>Duration of breastfeeding: median treatment 9 months, control 8 months.</p>","<p><b>Primary outcome:</b> prevention of atopic diseases during the first 2 years of life.</p>
<p><b>Other outcomes:</b> severity of atopic dermatitis, the cumulative incidence of atopic dermatitis, the incidence of recurrent (5 episodes) wheezing bronchitis, total immunoglobulin E (IgE) and the number of children with sensitisation to an inhalant allergen at the age of 2 years.</p>
<p><br><b>Definitions: </b>questionnaires and blinded physician examination. Physicians underwent standardised training program.<br>
 Eczema confirmed by pruritus, facial or extensor involvement, or both, and chronic relapsing course by using United Kingdom Working Party criteria (William 1994). The criterion (quote:) “chronic relapsing course” fulfilled if child had eczema for 1 month. The severity scoring of atopic dermatitis (Scoring Atopic Dermatitis Index) was used to assess eczema severity.<br>
 Skin prick tests, sensitisation to inhalant allergens and total IgE performed at 2 years reported for all infants.</p>","<p><b>Sponsor: </b>supported by the University of Freiburg and by Infectopharm, Heppenheim, Germany.</p>
<p><b>Declaration: </b>not reported.</p>"
Kukkonen 2006,2006,PUB,22958420,"<p>Randomised, double-blind, placebo-controlled study.</p>","<p><b>Inclusion criteria: </b>pregnant women with at least 1 parent of the unborn child had a physician-diagnosed allergic disease.<br><b>Exclusion criteria:</b> infants born &lt; 37 weeks' gestation, infants with major malformations, and B-twins.</p>","<p><b>Treatment (n = 610):</b> mothers took 1 capsule for 2 - 4 weeks before delivery containing Lactobacillus rhamnosus GG (ATCC 53103), 5 x 10<sup>9</sup> cfu; L rhamnosus LC705 (DSM 7061), 5 x 10<sup>9</sup> cfu; Bifidobacterium breve Bb99 (DSM 13692), 2 x 10<sup>8</sup> cfu; and Propionibacterium freudenreichii ssp. shermanii JS (DSM 7076), 2 x 10<sup>9</sup> cfu. Their newborn infants received 1 opened capsule containing the same probiotic mixed with 20 drops of sugar syrup containing 0.8 g of galacto-oligosaccharides once daily for 6 months after birth.<br><b>Control (n = 613): </b>placebo group mothers and infants took capsules containing microcrystalline cellulose, and infants received sugar syrup without galacto-oligosaccharides.</p>
<p><br>
 Exclusive breast-fed treatment group 2.6 months, control group 2.4 months. Standard adapted cow’s milk–based formula replaced breast milk when breast-feeding was insufficient. The use of hypoallergenic formula was restricted to infants allergic to cow’s milk.</p>","<p><b>Primary outcomes: </b>any allergic disease (food allergy, eczema, asthma, and allergic rhinitis) and IgE-associated (atopic) disease at 2 years.<br><b>Other outcomes:</b> eczema and sensitisation. Physician assessment at 3, 6, 24 months and 5 years. At 10 years parents completed questionnaires based on the ISAAC study. At 13 years, follow-up questionnaire was completed.</p>
<p><b>Definitions</b><br>
 Food allergy diagnosed with an open food challenge.<br>
 Eczema: according to the UK Working Party’s criteria (an itchy skin condition plus ≥ 3 of atopic disease in the family, dry skin during the last year, history of eczema, or visible eczema involving typical sites), (William 1994).<br>
 Atopic eczema: if IgE associated.<br>
 Severity of eczema evaluated using SCORAD score.<br>
 Asthma: 2 or more physician-diagnosed wheezing episodes accompanied by persistent cough or exercise-induced symptoms.</p>","<p><b>Sponsor: </b>grants from Valio Ltd; 2 authors employed by Valio Ltd.</p>
<p>2023 update: Inclusion of results from 5-year, 10-year, and 13-year follow-up studies. Childhood incidence analysis included results from 5-year follow-up. Childhood prevalence analysis included new onset of allergic disease and eczema diagnosed at age 5 - 10 years (ISAAC based). Adolescent allergic disease included allergic disease present at 13 years of age (12 mo ISAAC based). &nbsp;</p>
<p><b>Declaration of interests: </b>K. Kukkonen has received grant support from Valio Ltd. R. Korpela and T. Tuure are employed by Valio Ltd and by R&amp;D. T. Poussa has consultant arrangements with Valio Ltd. M. Kuitunen has received grant support from Valio Ltd. The rest of the authors have declared that they have no conflict of interest.</p>"
Lau 2012,2012,PUB,22958446,"<p>Blinded, randomised, placebo-controlled trial.</p>","<p><b>Inclusion criteria: </b>healthy newborns at term, birth weight of 2500 g or greater, 1 or 2 parents with atopic disease (atopic dermatitis, allergic rhinitis, or asthma), and informed consent. Families were informed of the study within the first week after the infant's birth through the obstetric department.</p>
<p><b>Exclusion criteria: </b>antibiotic treatment or other medication after birth, lymphocytopenia or thrombocytopenia, intensive care after birth, lack of German-language knowledge, and no informed consent.&nbsp;</p>","<p><b>Treatment (n = 303):</b> from week 5 until the end of month 7, infants had daily dose of 3 x 0.7mL of &nbsp;oral bacterial lysate (Pro-Symbioflor; SymbioPharm, Herborn, Germany) containing heat-killed non-pathogenic gram-negative E coli Symbio DSM 17252 and non-pathogenic gram-positive E faecalis Symbio DSM 16440 (1.5-4.5 3 107 bacteria/mL). 10 drops of the solution were administered to the infants with a spoon 3 times a day.&nbsp;</p>
<p><b>Control (n = 303):</b> placebo contained lactose monohydrate (4.9 mg/mL), sodium chloride (8.8 mg/mL), magnesium chloride (0.608 mg/ mL), calcium chloride (0.076 mg/mL), potassium chloride (0.133 mg/mL), magnesium sulfate (0.779 mg/mL), and aqua destillata (998.2 mg/mL).</p>","<p><b>Primary outcomes: </b>the prevalence of atopic dermatitis at the end of the prophylactic treatment period at 7 months of age.&nbsp;</p>
<p><b>Other outcomes: </b>specific serum IgE levels to 6 food allergens (cow's milk, hen's egg, wheat, peanut, soya, and cod fish) and 7 inhalant allergens (cat dander, dog dander, , Dermatophagoides pteronyssinus, birch, grass, mugwort, and Cladosporium herbarum; fx5, sx1; Phadia, Freiburg, Germany) and total IgE levels were measured at the ages of 5 and 31 weeks and 1, 2, and 3 years. Stool samples for analyses of gut flora.&nbsp;</p>
<p><b>Definitions: </b>Atopic dermatitis was clinically assessed by using a score according to the method of Hanifin and Rajka (Hanifin 1980) adapted for infants. Diagnosis for atopic dermatitis was made if infants showed a typical itchy rash at flexural/extensor sites, in the face, or both and dryness of the skin for more than 6 weeks.&nbsp;</p>","<p><b>Sponsor: </b>funding from SymbioPharm. SymbioPharm was involved in the study plan but had no influence on the analyses and interpretation of data.&nbsp;</p>
<p><b>Declaration of interests: </b>U. Wahn has received research support from SymbioPharm. The rest of the authors declared that they have no relevant conflicts of interest.</p>"
