Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Abrahamsson 2007,Allergic rhinitis by 2 years,Arm level,,No probiotics,,93,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrahamsson 2007,Allergic rhinitis by 2 years,Arm level,,Probiotics,,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrahamsson 2007,Asthma by 2 years,Arm level,,No probiotics,,93,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrahamsson 2007,Asthma by 2 years,Arm level,,Probiotics,,95,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrahamsson 2007,Eczema by 2 years,Arm level,,No probiotics,,93,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrahamsson 2007,Eczema by 2 years,Arm level,,Probiotics,,95,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Allergic rhinitis by 2 years,Arm level,,No probiotics,,201,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Allergic rhinitis by 2 years,Arm level,,Probiotics,,190,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Asthma by 2 years,Arm level,,No probiotics,,179,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Asthma by 2 years,Arm level,,Probiotics,,171,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Eczema by 2 years,Arm level,,No probiotics,,226,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Eczema by 2 years,Arm level,,Probiotics,,214,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Food allergy by 2 years,Arm level,,No probiotics,,204,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Food allergy by 2 years,Arm level,,Probiotics,,200,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabana 2007,Eczema by 2 years,Arm level,,No probiotics,,92,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabana 2007,Eczema by 2 years,Arm level,,Probiotics,,92,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hascoët 2011,Eczema by 2 years,Arm level,,No probiotics,,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hascoët 2011,Eczema by 2 years,Arm level,,Probiotics,,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalliomaki 2001,Eczema by 2 years,Arm level,,No probiotics,,68,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalliomaki 2001,Eczema by 2 years,Arm level,,Probiotics,,64,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim 2010,Eczema by 2 years,Arm level,,No probiotics,,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim 2010,Eczema by 2 years,Arm level,,Probiotics,,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kopp 2008,Eczema by 2 years,Arm level,,No probiotics,,44,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kopp 2008,Eczema by 2 years,Arm level,,Probiotics,,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lau 2012,Eczema by 2 years,Arm level,,No probiotics,,303,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lau 2012,Eczema by 2 years,Arm level,,Probiotics,,303,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morisset 2011,Cow's milk protein allergy by 2 years,Arm level,,No probiotics,,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morisset 2011,Cow's milk protein allergy by 2 years,Arm level,,Probiotics,,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niers 2009,Eczema by 2 years,Arm level,,No probiotics,,48,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niers 2009,Eczema by 2 years,Arm level,,Probiotics,,50,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortiz-Andrellucchi 2008,Cow's milk protein allergy by 2 years,Arm level,,No probiotics,,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortiz-Andrellucchi 2008,Cow's milk protein allergy by 2 years,Arm level,,Probiotics,,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
