Analysis group,Analysis number,Analysis name,Subgroup,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Resumption of menstrual regularity (menstrual cycle length in days),,Sathyapalan 2009,2009,0.0,0.0,50.0,26.153394,0,19,52.0,42.426407,0,18,0.0,0.0,100.0,-2.0,-24.856912,20.856912,After 3 months' treatment
1,2,Body mass index (kg/m2),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,33.16,6.102459,0,19,33.92,5.939697,0,18,0.0,0.0,57.08691,-0.76,-4.640531,3.120531,
1,2,Body mass index (kg/m2),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,30.7,9.2,0,15,26.8,4.6,0,13,0.0,0.0,30.77987,3.9,-1.384769,9.184769,
1,2,Body mass index (kg/m2),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,38.2,8.4,0,9,35.8,10.8,0,11,0.0,0.0,12.13322,2.4,-6.017272,10.817272,
1,3,Waist circumference (cm),,Sathyapalan 2009,2009,0.0,0.0,98.9,9.589578,0,19,98.7,8.909545,0,18,0.0,0.0,0.0,0.2,-5.760998,6.160998,After 3 months' treatment
1,4,Waist-hip ratio,,Puurunen 2013,2009,0.0,0.0,0.88,0.08,0,15,0.85,0.06,0,13,0.0,0.0,0.0,0.03,-0.021989,0.081989,After 6 months' treatment
1,5,Improvement in testosterone level (nmol/L),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,-0.52,0.871638,0,9,-0.58,0.893111,0,11,0.0,0.0,100.0,0.06,-0.716429,0.836429,
1,5,Improvement in testosterone level (nmol/L),After 3 months' treatment,Puurunen 2013,2009,0.0,0.0,0.0,0.975114,0,15,0.0,0.446802,0,13,0.0,0.0,51.366647,0.0,-0.55,0.55,
1,5,Improvement in testosterone level (nmol/L),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,-1.2,0.912892,0,19,-0.1,1.105998,0,18,0.0,0.0,48.633353,-1.1,-1.755399,-0.444601,
1,5,Improvement in testosterone level (nmol/L),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,-0.1,0.975114,0,15,-0.2,0.330965,0,13,0.0,0.0,100.0,0.1,-0.42524,0.62524,
1,6,Total cholesterol (mmol/L),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,3.43,0.51,0,9,4.99,0.87,0,11,0.0,0.0,29.8199,-1.56,-2.172654,-0.947346,
1,6,Total cholesterol (mmol/L),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,3.4,0.87178,0,19,4.6,0.848528,0,18,0.0,0.0,36.420939,-1.2,-1.754362,-0.645638,
1,6,Total cholesterol (mmol/L),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,3.6,0.6,0,15,4.8,0.9,0,13,0.0,0.0,33.759161,-1.2,-1.775802,-0.624198,
1,7,Low-density lipoprotein (LDL) cholesterol (mmol/L),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,1.78,0.5,0,9,3.07,0.7,0,11,0.0,0.0,29.648705,-1.29,-1.817093,-0.762907,
1,7,Low-density lipoprotein (LDL) cholesterol (mmol/L),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,1.8,0.87,0,19,2.7,0.42,0,18,0.0,0.0,43.199569,-0.9,-1.336667,-0.463333,
1,7,Low-density lipoprotein (LDL) cholesterol (mmol/L),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,1.8,0.5,0,15,3.0,0.9,0,13,0.0,0.0,27.151726,-1.2,-1.750796,-0.649204,
1,8,High-density lipoprotein (HDL) cholesterol (mmol/L),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,1.24,0.31,0,9,1.22,0.22,0,11,0.0,0.0,37.171723,0.02,-0.220667,0.260667,
1,8,High-density lipoprotein (HDL) cholesterol (mmol/L),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,1.08,0.43589,0,19,1.1,0.381838,0,18,0.0,0.0,30.964994,-0.02,-0.283686,0.243686,
1,8,High-density lipoprotein (HDL) cholesterol (mmol/L),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,1.5,0.4,0,15,1.5,0.3,0,13,0.0,0.0,31.863283,0.0,-0.259943,0.259943,
1,9,Triglycerides (mmol/L),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,0.89,0.27,0,9,1.46,0.5,0,11,0.0,0.0,37.242558,-0.57,-0.914125,-0.225875,
1,9,Triglycerides (mmol/L),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,1.08,0.566657,0,19,1.69,1.145513,0,18,0.0,0.0,12.784926,-0.61,-1.197336,-0.022664,
1,9,Triglycerides (mmol/L),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,0.9,0.4,0,15,1.1,0.4,0,13,0.0,0.0,49.972515,-0.2,-0.497078,0.097078,
1,10,Improvement in high-sensitivity C-reactive protein (nmol/L),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,12.38,19.05,0,14,17.14,20.0,0,13,0.0,0.0,80.449222,-4.76,-19.517219,9.997219,
1,10,Improvement in high-sensitivity C-reactive protein (nmol/L),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,32.38,45.681261,0,19,54.29,64.657844,0,18,0.0,0.0,13.332048,-21.91,-58.160751,14.340751,
1,10,Improvement in high-sensitivity C-reactive protein (nmol/L),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,40.96,51.43,0,9,57.15,69.53,0,11,0.0,0.0,6.21873,-16.19,-69.268006,36.888006,
1,11,Fasting insulin (μIU/L),After 6 weeks' treatment,Raja-Khan 2011,2009,0.0,0.0,1.4,5.203807,0,9,-1.1,5.284239,0,11,0.0,0.0,39.323844,2.5,-2.116253,7.116253,
1,11,Fasting insulin (μIU/L),After 3 months' treatment,Sathyapalan 2009,2009,0.0,0.0,12.4,7.410128,0,19,17.6,10.182338,0,18,0.0,0.0,32.840529,-5.2,-10.964427,0.564427,
1,11,Fasting insulin (μIU/L),After 6 months' treatment,Puurunen 2013,2009,0.0,0.0,1.4,12.261153,0,15,-0.1,5.113405,0,13,0.0,0.0,27.835627,1.5,-5.299039,8.299039,
1,12,Homeostatic model assessment for insulin resistance,,Sathyapalan 2009,2009,0.0,0.0,2.7,1.74356,0,19,3.8,2.12132,0,18,0.0,0.0,100.0,-1.1,-2.354989,0.154989,After 3 months' treatment
