Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Erectile function (AMS sexual),Testosterone versus placebo (short-term),Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,476,,316,-1.15355,-1.764459,-0.542641,0.024077,2.168637,2,0.338132,7.776192,3.700907,2.15E-4,,,,,analysis:433400355139735263
1,2,Erectile function (IIEF),Testosterone versus placebo (short-term),Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:426747894603996216
1,3,Erectile function (conversion to IIEF-EF),Testosterone versus placebo (short-term),Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,1135,,1088,5.690773,-0.017059,11.398606,82.457832,845.578734,9,0.0,98.93564,1.954106,0.050689,,,,,analysis:434764051017139777
1,4,Sexual quality of life (AMS total),Testosterone versus placebo (short-term),Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,622,,470,-5.085472,-9.448935,-0.722009,25.310669,49.019602,5,0.0,89.799999,2.284273,0.022355,,,,,analysis:435189022963348122
1,5,Sexual quality of life (IIEF-overall satisfaction),Testosterone versus placebo (short-term),Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,426,,420,2.205876,-1.230583,5.642334,12.04662,466.009904,3,0.0,99.356237,1.258108,0.208353,,,,,analysis:433400355139735267
1,6,Cardiovascular mortality,Testosterone versus placebo (short-term),Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,4,1860,3,1665,0.831916,0.212231,3.260994,0.0,1.851625,4,0.763025,0.0,0.26403,0.791757,,,,,analysis:426748184428832945
1,7,Treatment withdrawal due to adverse events,Testosterone versus placebo (short-term),Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,67,1787,65,1553,0.741045,0.524299,1.047395,0.0,8.250518,15,0.913347,0.0,1.697659,0.089572,,,,,analysis:426748194496997556
1,8,Prostate-related events,Testosterone versus placebo (short-term),Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,63,1812,32,1665,1.646522,1.079003,2.512537,0.0,5.519124,6,0.479149,0.0,2.312593,0.020745,,,,,analysis:426748203458914485
1,9,Lower urinary tract symptoms,Testosterone versus placebo (short-term),Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,882,,762,-0.620001,-1.507497,0.267495,0.877398,21.372102,8,0.006222,62.568024,1.369222,0.17093,,,,,analysis:426748216947009719
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",Testosterone versus placebo (short-term),Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,1135,,1088,5.690773,-0.017059,11.398606,82.457832,845.578734,9,0.0,98.93564,1.954106,0.050689,1.418072,1,0.233721,29.481733,analysis:437302217834590232
