Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): Erectile function,Domain (support): Incomplete outcome data (attrition bias): Erectile function,Domain (judgement): Incomplete outcome data (attrition bias): Sexual quality of life,Domain (support): Incomplete outcome data (attrition bias): Sexual quality of life,Domain (judgement): Incomplete outcome data (attrition bias): Cardiovascular mortality,Domain (support): Incomplete outcome data (attrition bias): Cardiovascular mortality,Domain (judgement): Incomplete outcome data (attrition bias): Treatment withdrawal due to adverse events,Domain (support): Incomplete outcome data (attrition bias): Treatment withdrawal due to adverse events,Domain (judgement): Incomplete outcome data (attrition bias): Prostate-related events,Domain (support): Incomplete outcome data (attrition bias): Prostate-related events,Domain (judgement): Incomplete outcome data (attrition bias): Lower urinary tract symptoms,Domain (support): Incomplete outcome data (attrition bias): Lower urinary tract symptoms,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Aliaev 2010,Unclear risk,"<p>Quote: ""Depending on the intended treatment at the next stage, patients were randomly divided into 3 groups.""</p>",Unclear risk,<p>Judgment: not described.</p>,High risk,"<p>Quote: ""In the urological clinic GOU VPO MMA named after I.M.Sechenov conducted a prospective study of open design"".</p>",High risk,"<p>Quote: ""In the urological clinic GOU VPO MMA named after I.M.Sechenov conducted a prospective study of open design"".</p>",Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Allan 2008,Low risk,"<p>Quote: ""Subjects were randomized in a 1:1 ratio by the Clinical Trials Pharmacist, Southern Health, who was responsible for dispensing all individually coded study medication"".</p>",Low risk,"<p>Quote: ""Subjects were randomized in a 1:1 ratio by the Clinical Trials Pharmacist, Southern Health, who was responsible for dispensing all individually coded study medication"".</p>",Low risk,"<p>Quote: ""Subjects were randomized in a 1:1 ratio by the Clinical Trials Pharmacist, Southern Health, who was responsible for dispensing all individually coded study medication"".</p>",Low risk,"<p>Quote: ""Subjects were randomized in a 1:1 ratio by the Clinical Trials Pharmacist, Southern Health, who was responsible for dispensing all individually coded study medication"".</p>",High risk,<p>Judgment: 17/31 (54%) in the experimental group and 25/31 (80%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Aversa 2009,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Aversa 2010a,Low risk,"<p>Quote: ""randomized, double-blind, double-dummy study with three parallel treatment arms [oral TU; im TU; transdermal placebo gel (P)] administration for twelve months"".</p>",Unclear risk,<p>Judgment: not described.</p>,Low risk,"<p>Quote: ""randomized, double-blind, double-dummy study with three parallel treatment arms [oral TU; im TU; transdermal placebo gel (P)] administration for twelve months"".</p>",Low risk,"<p>Quote: ""randomized, double-blind, double-dummy study with three parallel treatment arms [oral TU; im TU; transdermal placebo gel (P)] administration for twelve months"".</p>",Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Aversa 2010b,Low risk,"<p>Quote: ""The study was randomized, double-blind, double dummy with two parallel treatment arms"".</p>",Unclear risk,<p>Judgment: not described.</p>,Low risk,"<p>Quote: ""To ensure that treatment remained blinded, a standard double-dummy technique was used.""</p>",Low risk,"<p>Quote: ""To ensure that treatment remained blinded, a standard double-dummy technique was used.""</p>",Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Aydin 1996,Unclear risk,"<p>Quote: ""They were randomized into treatment groups""</p>",Unclear risk,"<p>Quote: ""They were randomized into treatment groups""</p>",Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Behre 2012,Low risk,"<p>Quote: ""using a computer-based randomization system"".</p>",Low risk,"<p>Quote: ""Randomization was performed by the Central Randomization Group of Bayer Pharma AG"".</p>",Low risk,"<p>Quote: ""placebo-controlled design... Patients received testosterone gel or identical placebo gel in a foil sachet"".</p>",Low risk,"<p>Quote: ""placebo-controlled design... Patients received testosterone gel or identical placebo gel in a foil sachet...To maintain blinding, total testosterone measurements were performed at the central laboratory"".</p>",Low risk,"<p>Judgment: while 168/183 (92%) in the experimental group and 155/179 (87%) in the control group were in the analysis, outcome values were reported based on the ITT population with the last observation carried forward.</p>",Low risk,"<p>Judgment: while 168/183 (92%) in the experimental group and 155/179 (87%) in the control group were in the analysis, outcome values were reported based on the ITT population with the last observation carried forward.</p>",Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 166/183 (90%) in the experimental group and 155/179 (87%) in the control group were in the analysis.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Benkert 1979,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Judgment: during the study period, single-blinding or double-blinding was used alternatively.</p>",Unclear risk,"<p>Judgment: during the study period, single-blinding or double-blinding was used alternatively.</p>",High risk,<p>Judgment: 13/18 (72%) in the experimental group and 16/18 (88%) in the control group were included in the analysis.</p>,High risk,<p>Judgment: 13/18 (72%) in the experimental group and 16/18 (88%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Boyanov 2003,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,High risk,"<p>Quote: ""The study was an open-label, randomized, notreatment controlled study"".</p>",High risk,"<p>Quote: ""The study was an open-label, randomized, notreatment controlled study"".</p>",Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: protocol registration was not specified and erectile function outcome measured by IIEF was not reported.</p>,Low risk,<p>Judgment: not detected.</p>
Brock 2016,Low risk,"<p>Quote: ""Treatment group assignment was determined by a computer generated random sequence using an interactive voice response system"".</p>",Low risk,"<p>Quote: ""Treatment group assignment was determined by a computer generated random sequence using an interactive voice response system"".</p>",Low risk,"<p>Judgment: participant, investigator, and outcomes assessor were blinded (reported in published protocol).</p>",Low risk,"<p>Judgment: participant, investigator, and outcomes assessor were blinded (reported in published protocol).</p>",Unclear risk,<p>Judgment: 303/358 (84%) in the experimental group and 297/357 (83%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: 303/358 (84%) in the experimental group and 297/357 (83%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: 324/358 (90%) in the experimental group and 320/357 (89%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
