Study,Year,Data source,ID: CRS,ID: CTG,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Study registration,Char: Publication details,Char: Stated aim for study,Char: Notes
Aliaev 2010,2010,PUB,22923463,,"<p><b>Study design: </b>prospective, open-label study</p><p><b>Setting/country: </b>single center/Russia</p><p><b>Dates when study was conducted:</b> NA</p>",<p><b>Inclusion criteria:</b></p><ul><li>IIEF-5: 8 to 21 points</li><li>AMS questionnaire: more than 26 points</li><li>IPSS index: lower than 18 points</li><li>Plasma content of TT: less than 12 nmol/L</li><li>PSA: less than 4 ng/mL</li></ul><p><b>Exclusion criteria: </b>NA</p><p><b>Total number of participants randomly assigned: </b>96</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 30</li><li>Age (mean ± SD): 46.67 ± 9.09 years</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 7.37 ± 2.38 nmol/L</li><li>IIEF-5 (mean ± SD): 14.50 ± 3.87</li><li>PSA (mean ± SD): 0.94 ± 0.34 ng/mL</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 34</li><li>Age (mean ± SD): 48.85 ± 9.48 years</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA nmol/L</li><li>IIEF-5 (mean ± SD): 15.24 ± 4.1</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group C</b></p><ul><li>Number of all participants randomly assigned: 32</li><li>Age (mean ± SD): 48.94 ± 9.26 years</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 6.91 ± 2.40 nmol/L</li><li>IIEF-5 (mean ± SD): 14.39 ± 4.2</li><li>PSA (mean ± SD): 1.156 ± 0.3 ng/mL</li></ul>,<p><b>Group A: </b>TU (Nebido®) in the form of 1 injection of 4 mL of a 25% solution IM</p><p><b>Group B:</b> PDE-5 inhibitor (vardenafil 10&nbsp;mg) on demand</p><p><b>Group C:</b> Group A + Group B</p><p><b>Follow-up:</b> 6 weeks</p>,"<p><b>Primary outcomes</b></p><ul><li>Erectile function</li><li>Sexual quality of life</li></ul><p>How measured: IIEF-5, AMS, SEP</p><p>Time points measured: baseline, 6 weeks</p><p>Time points reported: baseline, 6 weeks</p><p><b>Secondary outcomes</b></p><ul><li>Overall satisfaction</li></ul><p>How measured: GAQ</p><p>Time points measured: 6 weeks</p><p>Time points reported: NA</p><p><b>Safety outcomes</b></p><p>How measured: PSA</p><p>Time points measured: baseline, 6 weeks</p><p>Time points reported: NA</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: NR</p>,"<p>To comparatively analyze the effectiveness of monotherapy with PDE-5 inhibitors, testosterone preparations and the combined treatment of erectile dysfunctions associated with androgen deficiency</p>",<p><b>Language of publication: </b>Russian</p>
Allan 2008,2008,PUB,22923465,,<p><b>Study design: </b>double-blind randomized trial</p><p><b>Setting/country:</b> single center/Australia</p><p><b>Dates when study was conducted:</b> May 2001 to April 2004</p>,"<p><b>Inclusion criteria:</b></p><ul><li>Age: 55 years and over</li><li>Serum testosterone level: less than 15 nmol/L</li><li>Non-obese (BMI &lt; 30 kg/m² and waist circumference &lt; 102 cm)</li><li>Non-smokers in good general health</li><li>Symptoms consistent with testosterone deficiency</li></ul><p><b>Exclusion criteria:</b></p><ul><li>Excessive alcohol intake</li><li>History of malignancy (excluding non-melanoma skin cancer)</li><li>Serious chronic medical illness including diabetes mellitus, sleep apnea, prostate cancer, or clinically significant benign prostate disease</li><li>Testosterone therapy in the previous 12 months or testosterone implant</li><li>Symptoms of depression or on antidepressant medication</li></ul><p><b>Total number of participants randomly assigned:</b> 62</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 31</li><li>Age (mean ± SD): 62.1 ± 5.5 years</li><li>BMI (mean ± SD): 26.1 ± 2.3 kg/m²</li><li>Testosterone (mean ± SD): 13.6 ± 2.9 nmol/L</li><li>IIEF-EF (mean ± SD): 13.9 ± 10.2</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 31</li><li>Age (mean ± SD): 64.5 ± 7.5 years</li><li>BMI (mean ± SD): 25.4 ± 2.2 kg/m²</li><li>Testosterone (mean ± SD): 14.5 ± 3.5 nmol/L</li><li>IIEF-EF (mean ± SD): 10.3 ± 8.5</li><li>PSA (mean ± SD): NA</li></ul>","<p><b>Group A: </b>androderm patch (5 mg testosterone) + triamcinolone acetonide cream 0.02% (Sigma Pharmaceuticals, Australia)</p><p><b>Group B: </b>placebo</p><p><b>Follow-up:</b> 52 weeks</p>","<p><b>Outcomes</b></p><ul><li>Erectile function</li></ul><p>How measured: IIEF</p><p>Time points measured: baseline, 26, 52 weeks</p><p>Time points reported: baseline, 52 weeks</p><p><b>Safety outcomes: </b>NA</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,"<p>Funding sources: Mayne Pharma Australia Pty Ltd.</p><p>Declarations of interest: Watson Laboratories Inc. (Salt Lake City, UT, USA)</p>",<p>To determine the effects of testosterone therapy on self-reported sexual function as measured by a validated questionnaire</p>,<p><b>Language of publication: </b>English</p>
Aversa 2009,2009,PUB,22923467,,"<p><b>Study design: </b>randomized, placebo-controlled, cross-over study</p><p><b>Setting/country: </b>single center/Italy</p><p><b>Dates when study was conducted: </b>NA</p>",<p><b>Inclusion criteria: </b>middle-aged men with LOH and MS</p><p><b>Exclusion criteria: </b>NA</p><p><b>Total number of participants randomly assigned: </b>30</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 20</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 10</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>,"<p><b>Group A: </b>TU IM 1000 mg every 12 weeks</p><p><b>Group B: </b>placebo gel 3 g to 6 g/day for 52 weeks. After 52 weeks, TU IM 1000 mg every 12 weeks for 52 weeks</p><p><b>Follow-up: </b>24 months</p>",<p><b>Outcomes</b></p><ol><li>Metabolic effect</li><li>Body composition</li><li>Psychological changes</li><li>Sexual quality of life</li></ol><p>How measured:</p><ol><li>NCEP-ATP III and IDF criteria</li><li>DEXA</li><li>Beck’s Depression scores</li><li>AMS</li></ol><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Safety outcomes: </b>NR</p><p><b>Subgroup:</b> none</p>,<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: none</p>,<p>To evaluate body-composition and psychological effects of IM long-acting TU in middle-aged patients with LOH and MS compared with placebo</p>,<p><b>Language of publication: </b>English</p>
Aversa 2010a,2010,PUB,22923470,,"<p><b>Study design: </b>randomized, double-blind, double-dummy study</p><p><b>Setting/country: </b>single center/Italy</p><p><b>Dates when study was conducted: </b>NA</p>","<p><b>Inclusion criteria:</b></p><ul><li>Age: between 50 and 65 years</li><li>History: MS and/or T2DM</li><li>Serum TT level: &lt; 3.20 ng/mL (11 nmol/L) or calculated FT levels: &lt; 250 pmol/L (10 pg/mL)</li><li>Two symptoms of hypogonadism</li></ul><p><b>Exclusion criteria:</b></p><ul><li>Androgen therapy or anabolic steroids within 12 months of entry into the study</li><li>5-α-reductase inhibitors</li><li>History: cancer, drug or alcohol abuse, symptomatic OSAS, blood coagulation irregularities, uncontrolled thyroid disorders, uncontrolled diabetes(HbA1c ≥ 11)</li><li>Polycythemia (hematocrit level ≥ 52%)</li><li>Elevated PSA level</li><li>Abnormal DRE</li><li>Hyperprolactinemia or organic hypothalamic-pituitary pathology</li><li>Severe cardiac disease (NYHA class III or above)</li><li>Severe hepatic disease(ALT/AST ≥ 3 times above the upper limit of normal range)</li><li>Renal insufficiency (serum creatinine ≥ 1.5)</li><li>Severe neurological and psychiatric disease</li><li>Requiring or undergoing fertility treatment</li></ul><p><b>Total number of participants randomly assigned:</b> 52</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 32</li><li>Age (mean ± SD): 58 ± 10 years</li><li>BMI (mean ± SD): 30 ± 4.5 kg/m²</li><li>Testosterone (mean ± SD): 8.25 ± 2.1 nmol/L</li><li>IIEF-5 (mean ± SD): 17 ± 2</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 10</li><li>Age (mean ± SD): 57 ± 8 years</li><li>BMI (mean ± SD): 32.5 ± 5.5 kg/m²</li><li>Testosterone (mean ± SD): 8.91 ± 2.1 nmol/L</li><li>IIEF-5 (mean ± SD): 17 ± 3</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group C</b></p><ul><li>Number of all participants randomly assigned: 10</li><li>Age (mean ± SD): 55 ± 5 years</li><li>BMI (mean ± SD): 31 ± 6.2 kg/m²</li><li>Testosterone (mean ± SD): 8.91 ± 2.1 nmol/L</li><li>IIEF-5 (mean ± SD): 16 ± 2</li><li>PSA (mean ± SD): NA</li></ul>",<p><b>Group A:</b> TU IM 1000 mg/4 mL 12 weeks from week 6 for 12 months</p><p><b>Group B: </b>oral TU 40 mg/twice for 6 months + intramuscular TU 1000 mg/4 mL for 6 additional months</p><p><b>Group C: </b>placebo gel 3 g to 4g/day for 12 months</p><p><b>Follow-up: </b>12 months</p>,"<p><b>Primary outcomes</b></p><ol><li>Erectile function</li><li>Sexual quality of life</li><li>Body composition</li><li>Laboratory outcomes</li></ol><p>How measured:&nbsp;</p><ol><li>IIEF-5 and sexual domain of AMS</li><li>Total AMS score</li><li>Waist circumference, BMI, DEXA</li><li>TT and FT, SHBG, estradiol, HOMA-IR</li></ol><p>Time points measured: baseline, 6, 12 months</p><p>Time points reported: baseline, 6, 12 months</p><p><b>Secondary outcomes</b></p><ol><li>Lower urinary tract symptoms</li><li>Prostate-related events</li></ol><p>How measured:&nbsp;</p><ol><li>IPSS</li><li>Serum PSA level</li></ol><p>Time points measured:&nbsp;</p><ol><li>Baseline, 6, 12 months</li><li>Baseline, 3, 6, 9, 12 months</li></ol><p>Time points reported:&nbsp;</p><ol><li>Baseline, 6, 12 months</li><li>Baseline, 3, 6, 9, 12 months</li></ol><p><b>Safety outcomes</b></p><p>How measured: hematocrit level</p><p>Time points measured: during the course of study</p><p>Time points reported: during the course of study</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: NR</p>,<p>To investigate the efficacy and safety of two different preparations of TU in 52 hypogonadal men with MS</p>,<p><b>Language of publication: </b>English</p>
Aversa 2010b,2010,PUB,22923473,,"<p><b>Study design: </b>randomized, double-blind, placebo-controlled study</p><p><b>Setting/country: </b>single center/Italy</p><p><b>Dates when study was conducted: </b>NA</p>","<p><b>Inclusion criteria:</b></p><ul><li>Age: between 45 and 65 years</li><li>History: MS and/or T2DM</li><li>TT serum level below 3.0 ng/mL (11 nmol/L) or calculated free FT levels &lt; 250 pmol/L (10 pg/mL)</li><li>At least two symptoms of hypogonadism</li></ul><p><b>Exclusion criteria:</b></p><ul><li>Androgen therapy or anabolic steroids in the previous 12 months</li><li>History: tumors, blood coagulation irregularities, symptomatic OSAS, polycythemia (hematocrit level ≥ 52%), drug or alcohol abuse</li><li>Elevated PSA level or abnormal DRE</li><li>Using 5-a-reductase inhibitors</li><li>Presence of any uncontrolled endocrine disorder including diabetes (HbA1c ≥ 9)</li><li>Heart failure (NYHA III or IV)</li><li>Hepatic or renal insufficiency</li><li>Severe neurological and psychiatric disease</li><li>Requiring or undergoing fertility treatment</li></ul><p><b>Total number of participants randomly assigned:</b> 50</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 40</li><li>Age (mean ± SD): 58 ± 10 years</li><li>BMI (mean ± SD): 30.2 ± 4.5 kg/m²</li><li>Testosterone (mean ± SD): 8.33 ± 2.4 nmol/L</li><li>IIEF (mean ± SD): NA</li><li>PSA (mean ± SD): 1.07 ± 0.4 ng/mL</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 10</li><li>Age (mean ± SD): 57 ± 8 years</li><li>BMI (mean ± SD): 31 ± 6.2 kg/m²</li><li>Testosterone (mean ± SD): 9 ± 1.7 nmol/L</li><li>IIEF (mean ± SD): NA</li><li>PSA (mean ± SD): 1.1 ± 0.5 ng/mL</li></ul>",<p><b>Group A: </b>TU (Nebid) 1000 mg/ 12 weeks from week 6 for 24 months</p><p><b>Group B: </b>placebo gel 3 g to 4g/daily for 24 months</p><p><b>Follow-up: </b>24 months</p>,"<p><b>Primary outcomes</b></p><ul><li>Variation from baseline in the HOMA-IR, CIMT, and hsCRP</li></ul><p>How measured: CIMT: ultrasound equipped with a 7.5 MHz to 13 MHz broadband linear array transducer with standard software (Sonocalc IMT). HOMA-IR and hs-CRP: blood test</p><p>Time points measured: baseline and every 3months</p><p>Time points reported: baseline and every 3months</p><p><b>Secondary outcomes</b></p><ul><li>Variation from baseline in hormonal, biochemical, and anthropometric measurements by DXA</li></ul><p>How measured: blood test, DXA</p><p>Time points measured: baseline and every 3 months</p><p>Time points reported: baseline and every 3 months</p><p><b>Safety outcomes</b></p><p>How measured: hematocrit level 52%; PSA level increased &gt; 1.0 ng/mL above the baseline PSA if baseline PSA was &lt; 2.0 ng/mL; PSA level increase &gt; 50% of the baseline PSA if baseline PSA was &gt; 2.0 ng/mL</p><p>Time points measured: during the course of study</p><p>Time points reported: during the course of study</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: none</p>,<p>To evaluate the effects of parenteral TU in outpatient clinic patients with MS and late-onset hypogonadism</p>,<p><b>Language of publication: </b>English</p>
Aydin 1996,1996,PUB,22923475,,<p><b>Study design: </b>randomized trial</p><p><b>Setting/country: </b>single center/Turkey</p><p><b>Dates when study was conducted: </b>NA</p>,<p><b>Inclusion criteria: </b>men of various ages complaining of an inability to create or maintain an erection sufficient for intercourse</p><p><b>Exclusion criteria: </b>NA</p><p><b>Total number of participants randomly assigned: </b>79</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 20</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 21</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group C</b></p><ul><li>Number of all participants randomly assigned: 20</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group D</b></p><ul><li>Number of all participants randomly assigned: 18</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>,<p><b>Group A:</b> TU 120 mg/day IM</p><p><b>Group B:</b> trazodone 150 mg/day</p><p><b>Group C:</b> hypnotic suggestion</p><p><b>Group D:</b> placebo</p><p><b>Follow-up:</b> 16 weeks</p>,<p><b>Outcomes</b></p><ul><li>Sexual function</li></ul><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Safety outcomes</b>: NA</p><p><b>Subgroup:</b> none</p>,<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: none</p>,<p>To examine the effects of hypnotic suggestions or the administration of testosterone or trazodone to impotent men with no detectable organic cause for the impotence.</p>,<p><b>Language of publication: </b>English</p>
Behre 2012,2012,PUB,22923477,,"<p><b>Study design: </b>randomized, double-blind, placebo-controlled trial</p><p><b>Setting/country: </b>multicenter/Europe</p><p><b>Dates when study was conducted: </b>NA</p>","<p><b>Inclusion criteria:</b></p><ul><li>Age: 50 to 80 years</li><li>Symptoms of testosterone deficiency</li></ul><p>Diagnosis of symptomatic testosterone deficiency required all of the following:</p><ul><li>Serum TT &lt; 15 nmol/L (&lt; 4.3 ng/mL)</li><li>Bioavailable testosterone &lt; 6.68 nmol/L (&lt; 1.93 ng/mL)</li><li>AMS rating scale total score &gt; 36</li></ul><p><b>Exclusion criteria:</b></p><ul><li>Contraindication or hypersensitivity to 1% testosterone gel</li><li>BMI &gt; 35 kg/m²</li><li>PSA level ≥ 4 ng/mL</li><li>Severe symptomatic benign prostatic hyperplasia (IPSS ≥ 20)</li><li>Hematocrit &gt; 50%</li><li>Prolactin &gt; 25 ng/mL</li><li>Metallic implants</li><li>Concurrent use of cytochrome P450-inducing medications, corticotrophins, or oxyphenbutazone</li><li>History: prostate or breast cancer, sleep apnea, polycythemia, hypothalamic pituitary disorders, psychiatric disorders, uncontrolled diabetes mellitus or diabetes mellitus with vascular changes, uncontrolled thyroid disorders, hypertension or epilepsy; and severe cardiac, and hepatic or renal insufficiency</li></ul><p><b>Total number of participants randomly assigned:</b> 362</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 183</li><li>Age (mean ± SD): 61.9 ± 6.6 years</li><li>BMI (mean ± SD): 28.5 ± 3.3 kg/m²</li><li>Testosterone (mean ± SD): 10.4 ± 2.6 nmol/L</li><li>Sexual domain of AMS (mean ± SD): 16.0 ± 3.1</li><li>PSA (median, range): 1.25 (0.1-3.7) ng/mL</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 179</li><li>Age (mean ± SD): 62.1 ± 6.3 years</li><li>BMI (mean ± SD): 28.7 ± 3.0 kg/m²</li><li>Testosterone (mean ± SD): 10.6 ± 2.6 nmol/L</li><li>Sexual domain of AMS (mean ± SD): 15.7 ± 3.0</li><li>PSA (median, range): 1.31 (0.2 to 3.7) ng/mL</li></ul>",<p><b>Group A: </b>testosterone gel 5 g/day</p><p><b>Group B: </b>placebo</p><p><b>Follow-up:</b> 6 months</p>,"<p><b>Primary outcomes</b></p><ol><li>Lean body mass</li><li>Erectile function</li><li>Sexual quality of life</li></ol><p>How measured:&nbsp;</p><ol><li>DEXA</li><li>Sexual domain of AMS</li><li>AMS total score</li></ol><p>Time points measured: baseline, 6 months</p><p>Time points reported: baseline, 6 months</p><p><b>Secondary outcomes</b></p><ol><li>Prostate-related events</li><li>Lower urinary tract symptoms</li><li>Laboratory outcomes</li></ol><p>How measured:</p><ol><li>DRE and serum PSA level</li><li>IPSS</li><li>testosterone</li></ol><p>Time points measured: baseline, 6 months</p><p>Time points reported: baseline, 6 months</p><p><b>Subgroup:</b> lean body mass, AMS total score</p><ul><li>Age: &lt; 60, 60 to 80, ≥ 80</li><li>Testosterone: &lt; 10, 10 to 12, ≥ 12</li><li>BMI: &lt; 30, ≥ 30</li></ul>",<p>NA</p>,"<p>Funding sources: Bayer Pharma AG, Berlin, Germany</p><p>Declarations of interest: grant and/or lecture fees from Bayer Pharma, and employment by Bayer Pharma</p>",<p>To investigate the efficacy and safety of treatment with a 1% testosterone gel in men aged 50 to 80 years with hypogonadal to low-normal serum TT (&lt; 15.0 nmol/L) and bioavailable serum testosterone lower than 6.68 nmol/L along with putative symptoms of testosterone deficiency.</p>,<p><b>Language of publication: </b>English</p>
Benkert 1979,1979,PUB,22923479,,<p><b>Study design: </b>double-blind comparison</p><p><b>Setting/country: </b>multicenter/Germany</p><p><b>Dates when study was conducted: </b>NA</p>,"<p><b>Inclusion criteria:</b></p><ul><li>Sexual impotence with reduced or nonexistent ability to have an erection during intercourse persistent for at least 1 year, due to unknown etiology, and a prior history of normal penile erection</li><li>Age: under 60 years old</li><li>Regular female sexual partner, at least 1 attempt at coitus per week</li><li>Normal findings in an andrological examination</li></ul><p><b>Exclusion criteria: </b>NA</p><p><b>Total number of participants randomly assigned: </b>36</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 18</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 20.1 ± 6.4 nmol/L</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 18</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 17.2 ± 7.1 nmol/L</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>","<p><b>Group A: </b>TU (oral) 120 mg/day (80 mg at 8 am, 40 mg at 8 pm)</p><p><b>Group B: </b>placebo (2 capsules in the morning, 1 capsule in the evening)</p><p><b>Follow-up: </b>20 weeks</p>","<p><b>Primary outcomes</b></p><ul><li>Androgen treatment influences sexual impotence in males without clinical signs of androgen deficiency</li></ul><p>How measured: Clinical Global Impressions Scale</p><p>Time points measured: every other week</p><p>Time points reported: NA</p><p><b>Secondary outcomes</b></p><ol><li>Effects of androgen treatment on the hypothalamic, pituitary-gonadal axis</li><li>Psychological function</li></ol><p>How measured:</p><ol><li>Blood test</li><li>Self-rating scales for depression (Befindlichkeits-Skale) and for somatic disturbances (Beschwerdeliste)</li></ol><p>Time points measured:</p><ol><li>Blood test: first placebo period and after the 10th week of study</li><li>Psychological functions: every other week</li></ol><p>Time points reported: NA</p><p><b>Safety outcomes</b></p><p>How measured: side effects</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: NR</p>,"<p>To determine on a large-scale, blind basis whether androgen treatment influences sexual impotence in males without clinical signs of androgen deficiency.</p>",<p><b>Language of publication: </b>English</p>
Boyanov 2003,2003,PUB,22923481,,"<p><b>Study design: </b>open-label, randomized, no-treatment controlled study</p><p><b>Setting/country: </b>single center/Bulgaria</p><p><b>Dates when study was conducted: </b>NA</p>",<p><b>Inclusion criteria:</b></p><ul><li>Aged between 45 and 65 years</li><li>Be married or living in a stable relationship with a female sexual partner for at least 6 months</li><li>Waist-hip ratio of at least 0.9</li><li>Type 2 diabetes mellitus and symptoms of andropause or erectile dysfunction</li><li>Serum testosterone levels below the normal range for young adults or in the lower third of this range (TT &lt; 15.1 nmol/L)</li></ul><p><b>Exclusion criteria:</b></p><ul><li>Concurrent illnesses other than diabetes or surgical interventions likely to impair sexual function</li><li>Severe diabetic complications such as amputations or chronic renal failure</li><li>Drug use other than antidiabetic medication or antihypertensive</li><li>History of alcoholism or major psychopathology</li><li>Any sign or evidence of prostate enlargement or abnormalities</li></ul><p><b>Total number of participants randomly assigned:</b> 48</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 24</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): 31.08 ± 4.79 kg/m²</li><li>Testosterone (mean ± SD): 9.56 ± 2.33 nmol/L</li><li>Partial Androgen Deficiency of the Aging Male (mean ± SD): 2.25 ± 0.675</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 24</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): 31.01 ± 4.90 kg/m²</li><li>Testosterone (mean ± SD): 10.76 ± 3.0 nmol/L</li><li>Partial Androgen Deficiency of the Aging Male (mean ± SD): 2.50 ± 0.75</li><li>PSA (mean ± SD): NA</li></ul>,<p><b>Group A: </b>TU 120 mg (80 mg at breakfast 40 mg at dinner) oral</p><p><b>Group B: </b>no treatment</p><p><b>Follow-up:</b> 3 months</p>,"<p><b>Primary outcomes</b></p><ol><li>Erectile function</li><li>Sexual quality of life</li><li>Body composition</li><li>Glucose homeostasis</li></ol><p>How measured:</p><ol><li>IIEF-5</li><li>PADAM questionnaire</li><li>Tetrapolar body composition analyzer</li><li>HbA1c determinations and urine analysis</li></ol><p>Time points measured: baseline, 3 months</p><p>Time points reported: baseline, 3 months</p><p><b>Safety outcomes</b></p><p>How measured: adverse events (spontaneous reporting and active questioning)</p><p>Time points measured: 3 months</p><p>Time points reported: 3 months</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: NR</p>,"<p>To assess the effects of oral testosterone supplementation therapy on glucose homeostasis, obesity and sexual function in middle-aged men with type 2 diabetes and mild androgen deficiency</p>",<p><b>Language of publication: </b>English</p>
Brock 2016,2016,PUB,22923483,NCT01816295,"<p><b>Study design: </b>randomized, multicenter, double-blind, placebo-controlled, parallel-group</p><p><b>Setting/country: </b>multicenter//Canada, Europe, South Korea, USA</p><p><b>Dates when study was conducted: </b>NA</p>","<p><b>Inclusion criteria: </b>men 18 years old or older with 2 TT levels less than 300 ng/dL (11 nmol/L) measured 1 week or more apart and at least 1 symptom of testosterone deficiency</p><p><b>Exclusion criteria:</b></p><ul><li>HbA1c greater than 11%</li><li>BMI greater than 37 kg/m<sup>2</sup></li><li>Hematocrit 50% or greater</li><li>History: prostate cancer, breast cancer, other active cancer (except non-melanoma skin cancer)</li><li>Abnormal DRE</li><li>PSA 4 ng/mL or greater at screening</li></ul><p><b>Total number of participants randomly assigned: </b>715</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 358</li><li>Age (mean ± SD): 54.7 ± 10.6 years</li><li>BMI (mean ± SD): 30.3 ± 4.1 kg/m²</li><li>Testosterone (mean ± SD): 7.0 ± 2.3 nmol/L</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 357</li><li>Age (mean ± SD): 55.9 ± 11.4 years</li><li>BMI (mean ± SD): 30.9 ± 4.2 kg/m²</li><li>Testosterone (mean ± SD): 7.0 ± 2.3 nmol/L</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>","<p><b>Group A: </b>60 mg topical testosterone solution 2% once daily. If required, the dose was decreased to 30 mg or increased in 30 mg increments up to a maximum of 120 mg daily.</p><p><b>Group B: </b>placebo solution</p><p><b>Follow-up: </b>12 weeks</p>","<p><b>Primary outcomes</b></p><ol><li>Laboratory outcomes</li><li>Erectile function</li><li>Sexual quality of life</li></ol><p>How measured:&nbsp;</p><ol><li>Serum TT</li><li>Erectile function domain of IIEF</li><li>Satisfaction domain of IIEF</li></ol><p>Time points measured:</p><ol><li>Baseline, 2, 6, 12 weeks</li><li>NA</li><li>NA</li></ol><p>Time points reported:</p><ol><li>NA</li><li>12 weeks</li><li>12 weeks</li></ol><p><b>Secondary outcomes</b></p><ol><li>Levels of sexual arousal, interest, and drive</li><li>Levels of energy</li><li>Energy and sexual drive</li></ol><p>How measured:</p><ol><li>Sexual Arousal, Interest and Drive scale</li><li>Hypogonadism Energy Diary</li><li>PGI-I, IIEF, Psychosexual Daily Questionnaire</li></ol><p>Time points measured: NA</p><p>Time points reported:</p><ol><li>Baseline, 4, 12 weeks</li><li>Baseline, 4, 12 weeks</li><li>PGI-I: 12 weeks/ IIEF, Psychosexual Daily Questionnaire: 12 weeks</li></ol><p><b>Safety outcomes</b></p><p>How measured: treatment-emergent adverse events</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Subgroup:</b> none</p>",<p>NCT01816295</p>,<p>Funding sources: Eli Lilly and Co.</p><p>Declarations of interest: financial interest and/or other relationship with Eli Lilly</p>,"<p>To determine the effect of testosterone solution 2% on TT level and the 2 symptoms of hypogonadism, sex drive, and energy level</p>",<p><b>Language of publication: </b>English</p>
