Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,PTSD severity at three months,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,12.38,10.74,0,8,23.73,21.56,0,15,0.0,0.0,100.0,-11.35,-24.557214,1.857214,
1,2,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Shalev 2012,2012,0.0,0.0,34.31,29.36,0,13,32.13,21.64,0,15,0.0,0.0,23.779124,2.18,-17.175846,21.535846,
1,2,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,-29.29,16.4891,0,12,-44.11,15.709,0,17,0.0,0.0,32.983314,14.82,2.870073,26.769927,
1,2,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Zohar 2018,2018,0.0,0.0,-45.05,3.22,0,102,-40.26,2.98,0,96,0.0,0.0,43.237562,-4.79,-5.65362,-3.92638,
1,3,Dropouts due to adverse events at three months,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,0,13,0.0,0.0,0,18,0.0,0.0,,,,,
1,4,Dropouts due to adverse events at study endpoint,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,0,13,0.0,0.0,0,18,0.0,0.0,,,,,
1,5,PTSD rate at three months,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,0,8,0.0,0.0,1,15,0.0,0.0,100.0,0.592593,0.026839,13.08439,
1,6,Sensitivity analysis: PTSD rate at three months (cases out of randomised),,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,0,13,0.0,0.0,1,18,0.0,0.0,100.0,0.452381,0.019871,10.298933,
1,7,PTSD rate at study endpoint,,SUBGROUP_AND_OVERALL,Shalev 2012,2012,0.0,0.0,0.0,0.0,6,13,0.0,0.0,6,15,0.0,0.0,100.0,1.153846,0.491324,2.70974,
1,7,PTSD rate at study endpoint,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0,12,0.0,0.0,,,,,
1,8,Sensitivity analysis: PTSD rate at study endpoint (cases out of randomised),,SUBGROUP_AND_OVERALL,Shalev 2012,2012,0.0,0.0,0.0,0.0,6,23,0.0,0.0,6,23,0.0,0.0,100.0,1.0,0.378002,2.645486,
1,8,Sensitivity analysis: PTSD rate at study endpoint (cases out of randomised),,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,0,13,0.0,0.0,0,18,0.0,0.0,,,,,
1,9,Depression severity at three months,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,1.13,1.64,0,8,6.2,8.98,0,15,0.0,0.0,100.0,-5.07,-9.754366,-0.385634,
1,10,Depression severity at study endpoint,,SUBGROUP_AND_OVERALL,Shalev 2012,2012,0.0,0.0,10.08,9.71,0,13,14.8,12.33,0,15,0.0,0.0,62.015975,-0.409256,-1.160898,0.342386,
1,10,Depression severity at study endpoint,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.71,1.89,0,7,2.5,2.97,0,12,0.0,0.0,37.984025,-0.647727,-1.608149,0.312695,
1,11,Anxiety severity at three months,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,1.88,0.99,0,8,2.9,2.34,0,15,0.0,0.0,100.0,-1.02,-2.388544,0.348544,
1,12,Anxiety severity at study endpoint,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,1.29,1.76,0,7,1.42,1.38,0,12,0.0,0.0,100.0,-0.13,-1.649717,1.389717,
1,13,Functional disability at study endpoint,,SUBGROUP_AND_OVERALL,Shalev 2012,2012,0.0,0.0,71.33,11.56,0,13,70.27,10.46,0,15,0.0,0.0,100.0,1.06,-7.156344,9.276344,
1,14,Dropout for any reason at three months,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,5,13,0.0,0.0,3,18,0.0,0.0,100.0,2.307692,0.6672,7.981782,
1,15,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Shalev 2012,2012,0.0,0.0,0.0,0.0,10,23,0.0,0.0,8,23,0.0,0.0,8.937033,1.25,0.603466,2.589209,
1,15,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Suliman 2015,2015,0.0,0.0,0.0,0.0,6,13,0.0,0.0,6,18,0.0,0.0,6.142247,1.384615,0.575238,3.33281,
1,15,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Zohar 2018,2018,0.0,0.0,0.0,0.0,74,176,0.0,0.0,81,177,0.0,0.0,84.920721,0.918771,0.725456,1.163599,
2,1,PTSD severity at three months,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,26.3,20.32,0,43,17.82,20.59,0,33,0.0,0.0,35.604382,8.48,-0.806444,17.766444,
2,1,PTSD severity at three months,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,19.4,17.4356,0,19,31.3,19.106,0,24,0.0,0.0,34.28765,-11.9,-22.849513,-0.950487,
2,1,PTSD severity at three months,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,6.91,8.64,0,9,28.4,21.1284,0,8,0.0,0.0,30.107968,-21.49,-37.181413,-5.798587,
2,2,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,16.67,17.95,0,51,16.49,21.01,0,45,0.0,0.0,39.360589,0.18,-7.690917,8.050917,
2,2,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,19.4,17.4356,0,19,31.3,19.106,0,24,0.0,0.0,34.146035,-11.9,-22.849513,-0.950487,
2,2,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,6.91,8.64,0,9,28.4,21.1284,0,8,0.0,0.0,26.493376,-21.49,-37.181413,-5.798587,
2,3,Dropouts due to adverse events at three months,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,0,60,0.0,0.0,0,58,0.0,0.0,,,,,
2,3,Dropouts due to adverse events at three months,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,1,31,0.0,0.0,0,33,0.0,0.0,100.0,3.1875,0.134693,75.431979,
2,4,Dropouts due to adverse events at study endpoint,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,0,60,0.0,0.0,0,58,0.0,0.0,,,,,
2,4,Dropouts due to adverse events at study endpoint,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,1,31,0.0,0.0,0,33,0.0,0.0,100.0,3.1875,0.134693,75.431979,
2,5,PTSD rate at three months,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,5,43,0.0,0.0,3,33,0.0,0.0,53.558867,1.27907,0.329081,4.971477,
2,5,PTSD rate at three months,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,0,19,0.0,0.0,3,24,0.0,0.0,22.73925,0.178571,0.009784,3.259249,
2,5,PTSD rate at three months,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.0,0.0,0,9,0.0,0.0,3,8,0.0,0.0,23.701883,0.128571,0.00764,2.163571,
2,6,Sensitivity analysis: PTSD rate at three months (cases out of randomised),,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,5,60,0.0,0.0,3,58,0.0,0.0,46.646098,1.611111,0.403256,6.436798,
2,6,Sensitivity analysis: PTSD rate at three months (cases out of randomised),,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,0,31,0.0,0.0,3,33,0.0,0.0,26.361511,0.151786,0.008157,2.824457,
