Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias,Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Balanced baseline characteristics?,Domain (support): Balanced baseline characteristics?,Domain (judgement): Adjustment for clustering in analysis?,Domain (support): Adjustment for clustering in analysis?
Andrews 1999,Unclear risk,<p>Seventy-five dental practices were blocked and then randomized - no further details provided</p>,Unclear risk,<p>No details provided</p>,Not applicable,,Low risk,<p>Tobacco use status is measured by self-report but the intervention and control arms received similar amounts of face-to-face contact</p>,Low risk,<p>Attrition rates similar between study arms. 177/239 in usual care; 292/394 complete in intervention</p>,Low risk,<p>no protocol found; but all the primary and secondary outcomes mentioned in the method session were reported</p>,Low risk,<p>No other sources of bias detected.</p>,High risk,"<p>""Study enrollment occurred over an average 38-week period per practice. At their hygiene visit, 34,897 patients, 15 years and older, completed a health survey prior to their oral exam and cleaning. Based on information provided by 59 of the 75 practices (16 practices did not provide data), 81% of eligible patients completed the survey;""</p>",High risk,"<p>""Smokeless users in the intervention conditions were more likely to have been previously advised by a dental care provider to quit their use of chewing tobacco, 54.5% versus 42.4%; X 2 (1, N = 469) = 6.0, p &lt; .05, and were less likely to be single, 25.3% versus 33.7%; X 2 (1, N = 464) = 3.4, p = .064, than those in the usual care condition. Both variables are likely to affect outcomes in the hypothesized direction and therefore were included as covariares in all outcome analyses.""</p>",Low risk,"<p>""Intrapractice dependence, as measured by the intraclass correlation, was essentially zero across outcomes (all less than .0009) and the practice effect was nonsignificant.""</p>"
Boyle 2004,Low risk,<p>A computer generated sequence was used to randomly assign subjects</p>,Unclear risk,<p>No details provided</p>,Not applicable,,High risk,<p>Measured by self-report and participants in the intervention arm have more personal contact than in the control arm</p>,Low risk,"<p>Attrition rates were low and similar between study arms. ""We were able to collect follow-up data from 95% (211 /221) of subjects at 3 months and 93% (206/221) at 6 months""</p>",Low risk,<p>No protocol found; but all the primary and secondary outcomes mentioned in the method session were reported&nbsp;</p>,Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
Boyle 2008,Low risk,<p>Treatment assignment was conducted twice each week by the study statistician using a computer generated block randomization</p>,Low risk,<p>The statistician was not involved in subject recruitment or in determining eligibility. Participants learned about their treatment assignment in a letter sent to their home address.</p>,Not applicable,,Unclear risk,<p>All follow-up contacts were conducted by the Data Collection Center (DCC) at the HealthPartners Research Foundation allowing for separation between the intervention staff and the outcome assessment. But tobacco abstinance measured by self-report and participants in the intervention arm had more personal contact than in the control arm</p>,Low risk,<p>Attrition rates low and similar between study arms. 181/201 intervention; 189/205 control</p>,High risk,<p>measured but didn't report ST abstinence</p>,Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
Cigrang 2002,Unclear risk,<p>Stated randomized but method not reported</p>,Unclear risk,<p>No details provided</p>,Not applicable,,High risk,<p>Self-reported absintnece and different levels of contact.</p>,Low risk,<p>Overall % lost &lt; 10%</p>,Unclear risk,<p>No protocol available</p>,Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
Cummings 1996,Low risk,<p>Random numbers generated by a mathematical programme</p>,Unclear risk,<p>concealment not reported</p>,Not applicable,,Unclear risk,"<p>No blinding or biochemical validation of abstinence. Unclear if there was difference in personal contact, as intervention was carried out at workplace level.</p>",Low risk,<p>Attrition rates were similar between study arms (41% and 34% for intevrention and control respectively).</p>,Low risk,"<p>No protocol, but planned outcomes from methods appear to be reported</p>",Low risk,<p>No other sources of bias detected.</p>,Low risk,"<p>Randomization may have occurred before recruitment, but all employees at each worksite were approached, so bias unlikely.&nbsp;</p>",Low risk,<p>Worksite allocation was matched for a range of relvant factors</p>,Unclear risk,<p>Unclear what adjustments made</p>
Dale 2002,Unclear risk,"<p>""Sixty-eight subjects entered the study and were randomized to the active or placebo treatment arms"" ""At the baseline visit, subjects were randomly assigned to receive bupropion SR…""</p>",Unclear risk,<p>As above - no further info</p>,Low risk,"<p>""Subjects and study personnel were blinded to the treatment<br>
 arms""</p>",Low risk,"<p>""Self-reported abstinence was biochemically confirmed with urine cotinine measurements""</p>",Low risk,"<p>""Of the 68 subjects randomized, 31 (15 placebo, 16 bupropion) discontinued participation""</p>",Unclear risk,"<p>They report the findings of everything they set out to in the methods, but there is no protocol</p>",Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
Dale 2007,Low risk,"<p>""A computer-generated randomization sequence assigned subjects in a 1:1 ratio""</p>",Unclear risk,<p>concealment not reported</p>,Low risk,"<p>""Participants, investigators, and study staff were blinded to<br>
 treatment assignment.""</p>",Low risk,"<p>Point prevalence absintence biochemically validated. Unclear if continuous absitnence validated, but arms received same level of behavioural support and pharmacotherapy was blinded.</p>",Low risk,"<p>""225 were eligible and randomized to receive treatment (113 bupropion SR, 112 placebo) and included in the final analysis (Figure 1). A total of 46 subjects (24 bupropion SR, 22 placebo; p = 0.766) discontinued study participation prior to the end of the medication phase""</p>",Low risk,<p>All outcomes listed in the protocol are reported</p>,Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
Danaher 2013,Low risk,<p>Immediately and continuously randomized to either the Enhanced or the Basic Condition using a computer-generated vector</p>,Unclear risk,<p>not reported</p>,Not applicable,,Low risk,"<p>Assessment unblinded and not biochemically validated, but no difference in personal contact between study arms</p>",Low risk,"<p>Attrition in this study did not differ as a function of condition or participant baseline characteristics, and interactions between attrition and condition were not significant predictors of tobacco outcome measures</p>",Low risk,<p>Outcomes from NCT record published in results paper</p>,Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
Danaher 2015a,Low risk,<p>randomized to condition using a computer-generated randomization vector.&nbsp;</p>,Unclear risk,<p>not reported</p>,Not applicable,,Low risk,"<p>Abstinence not biochemically validated, but similar levels of contact</p>",Low risk,<p>69% of participants completed both the 3- and 6-month assessments</p>,High risk,"<p>Smokeless tobacco abstinence measured as outcome but not repoorted in results paper: ""Rates of smokeless tobacco abstinence followed a similar pattern but achieved slightly higher rates of abstinence than all tobacco.""</p>",Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
Danaher 2015b,Low risk,<p>A randomization sequence vector was used to randomly assign eligible individuals to one of the two experimental conditions:</p>,Unclear risk,<p>not reported</p>,High risk,<p>The campaign (both in online listings and content on the study marketing page) described a study that would compare the use of an online individualized (tailored) smokeless tobacco cessation program both with – and without – the use of nicotine lozenges.&nbsp;</p>,High risk,<p>Abstinence assessed by self report.</p>,Low risk,<p>A total of 265 (65%) completed both assessments. Assessment completion rates did not vary by condition or sample characteristics</p>,Low risk,<p>No protocol found but all expectetd outcomes reported</p>,Low risk,<p>No other sources of bias detected.</p>,Not applicable,,Not applicable,,Not applicable,
