Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Anderson 2013 (CS28),2009,0.0,0.0,0.0,0.0,0,27,0.0,0.0,1,13,0.0,0.0,0.693589,0.166667,0.007245,3.833933,
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Axcrona 2012 (CS31),2009,0.0,0.0,0.0,0.0,1,84,0.0,0.0,7,98,0.0,0.0,1.570709,0.166667,0.020928,1.327323,
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Crawford 2013 (CS37),2009,0.0,0.0,0.0,0.0,6,50,0.0,0.0,18,178,0.0,0.0,8.367115,1.186667,0.497629,2.829777,
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Klotz 2008 (CS21),2006,0.0,0.0,0.0,0.0,24,202,0.0,0.0,14,100,0.0,0.0,15.523421,0.848656,0.459269,1.568183,Degarelix 240 mg induction dose/160 mg maintenance dose s.c.
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Klotz 2008 (CS21),2006,0.0,0.0,0.0,0.0,21,207,0.0,0.0,14,101,0.0,0.0,14.733619,0.731884,0.388617,1.378361,Degarelix 240 mg induction dose/80 mg maintenance dose s.c.
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Margel 2019 (0102-15-RMC),2019,0.0,0.0,0.0,0.0,1,41,0.0,0.0,8,39,0.0,0.0,1.636561,0.118902,0.015583,0.907241,Major cardiovascular and cerebrovascular events
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Mason 2013 (CS30),2009,0.0,0.0,0.0,0.0,7,181,0.0,0.0,0,64,0.0,0.0,0.839207,5.357143,0.310294,92.489782,
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Ozono 2018 (3550-CL-0010),2016,0.0,0.0,0.0,0.0,15,117,0.0,0.0,16,117,0.0,0.0,13.847984,0.9375,0.486421,1.806884,Degarelix 240 mg induction dose/480 mg maintenance dose every 3 months s.c.
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Shore 2012 (CS35),2009,0.0,0.0,0.0,0.0,58,565,0.0,0.0,33,283,0.0,0.0,30.178926,0.880343,0.588448,1.317031,Degarelix 240 mg induction dose/480 mg maintenance dose every 3 month s.c.
1,1,Serious adverse events,,,SUBGROUP_AND_OVERALL,Xie 2016 (PANDA),2016,0.0,0.0,0.0,0.0,12,142,0.0,0.0,18,141,0.0,0.0,12.60887,0.661972,0.331276,1.322784,
1,2,Quality of life,,,SUBGROUP_AND_OVERALL,Crawford 2013 (CS37),2009,0.0,0.0,-4.28,11.34,0,41,-1.65,11.15,0,150,0.0,0.0,9.563128,-0.234087,-0.580305,0.11213,Functional Assessment of Cancer Therapy – Prostate (FACT-P)
1,2,Quality of life,,,SUBGROUP_AND_OVERALL,Klotz 2008 (CS21),2006,0.0,0.0,0.871,0.11,0,935,0.861,0.113,0,914,0.0,0.0,54.400532,0.089655,-0.001558,0.180868,EORTC QLQ-C30 mapped to EORTC-8D; degarelix 240 mg induction dose/80 mg maintenance dose every 4 weeks
1,2,Quality of life,,,SUBGROUP_AND_OVERALL,Shore 2012 (CS35),2009,0.0,0.0,0.18,10.9,0,565,-0.87,9.76,0,282,0.0,0.0,36.03634,0.099583,-0.043399,0.242565,Short-Form-36 (SF-36); degarelix 240 mg induction dose/480 mg maintenance dose every 3 months s.c.
1,3,Injection site pain,,,SUBGROUP_AND_OVERALL,Anderson 2013 (CS28),2009,0.0,0.0,0.0,0.0,6,27,0.0,0.0,0,13,0.0,0.0,5.460628,6.5,0.393694,107.316907,
1,3,Injection site pain,,,SUBGROUP_AND_OVERALL,Axcrona 2012 (CS31),2009,0.0,0.0,0.0,0.0,12,84,0.0,0.0,0,98,0.0,0.0,5.437419,29.117647,1.749869,484.5147,
1,3,Injection site pain,,,SUBGROUP_AND_OVERALL,Crawford 2013 (CS37),2009,0.0,0.0,0.0,0.0,29,50,0.0,0.0,19,178,0.0,0.0,21.107746,5.433684,3.342024,8.834445,
1,3,Injection site pain,,,SUBGROUP_AND_OVERALL,Klotz 2008 (CS21),2006,0.0,0.0,0.0,0.0,58,207,0.0,0.0,1,101,0.0,0.0,8.950574,28.299517,3.976584,201.39465,
