Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Depression response (early phase),Intravenous neurosteroid GABAA positive allosteric modulators versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:430912835683932057
1,2,Depression remission (early phase),Intravenous neurosteroid GABAA positive allosteric modulators versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:454381467716345863
1,3,Adverse events (mother),Intravenous neurosteroid GABAA positive allosteric modulators versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:430912835683932060
1,4,Depression severity according to HAMD (early phase),Intravenous neurosteroid GABAA positive allosteric modulators versus placebo,Custom input,"#N/A",Contrast level,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:453768426641076104
1,5,Treatment acceptability (measured by dropouts),Intravenous neurosteroid GABAA positive allosteric modulators versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,28,156,6,111,2.76554,1.222367,6.256889,,,0.0,,,0.032176,2,0.984041,0.0,2.441979,,0.014607,,,,,analysis:454217435935446450
2,1,Depression response (early phase),Oral zuranolone versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:450099144740369394
2,2,Depression response (acute phase),Oral zuranolone versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,107,175,85,174,1.263022,1.029367,1.549714,,,0.002762,,,1.144446,1,0.284715,12.621488,2.237281,,0.025268,,,,,analysis:449466388232102102
2,3,Depression remission (early phase),Oral zuranolone versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:450299267429482569
2,4,Depression remission (acute phase),Oral zuranolone versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,76,175,46,174,1.646148,1.219464,2.222128,,,0.0,,,0.488539,1,0.48458,0.0,3.256108,,0.00113,,,,,analysis:450100291630600102
2,5,Adverse events (mother),Oral zuranolone versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:450100984730166008
2,6,Depression severity (early phase),Oral zuranolone versus placebo,Custom input,"#N/A",Contrast level,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:453747701142853948
2,7,Depression severity (acute phase),Oral zuranolone versus placebo,Custom input,"#N/A",Contrast level,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,0,,0,-3.786267,-5.600373,-1.972161,,,0.0,,,0.104834,1,0.746104,0.0,4.09069,,4.3E-5,,,,,analysis:454540739570337997
2,8,Treatment acceptability,Oral zuranolone versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,18,175,19,174,0.951343,0.501115,1.806081,,,0.014367,,,1.057344,1,0.303822,5.423418,0.152509,,0.878785,,,,,analysis:450101056601400981
2,9," Barkin Index of Maternal Functioning (early phase)",Oral zuranolone versus placebo,Custom input,"#N/A",Contrast level,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:454541346770291949
2,10," Barkin Index of Maternal Functioning (acute phase)",Oral zuranolone versus placebo,Custom input,"#N/A",Contrast level,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:454541388146314510
3,1,Depression response (early phase),Subgroup analysis by individual drug (Brexanolone only),Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:454562590516583474
3,2,Depression remission (early phase),Subgroup analysis by individual drug (Brexanolone only),Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:454562590665743551
3,3,Adverse events (mother),Subgroup analysis by individual drug (Brexanolone only),Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:454562590575565925
