Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Tobacco cessation at longest follow-up,Duration ≤ 1 hour,1,SUBGROUP_AND_OVERALL,Cigrang 2002,2002,0.0,0.0,0.0,0.0,10,31,0.0,0.0,5,29,0.0,0.0,3.075241,1.870968,0.726043,4.821369,
1,1,Tobacco cessation at longest follow-up,Duration ≤ 1 hour,1,SUBGROUP_AND_OVERALL,Kumbhalwar 2022,2022,0.0,0.0,0.0,0.0,22,100,0.0,0.0,9,100,0.0,0.0,4.251671,2.444444,1.184733,5.043592,
1,1,Tobacco cessation at longest follow-up,Duration ≤ 1 hour,1,SUBGROUP_AND_OVERALL,Rasool 2024,2024,0.0,1.463763128222484,0.0,0.0,5,50,0.0,0.0,2,50,0.0,2.142602495543672,1.384519,2.5,0.508652,12.287383,
1,1,Tobacco cessation at longest follow-up,Duration ≤ 1 hour,1,SUBGROUP_AND_OVERALL,Severson 2007,2007,0.0,0.0,0.0,0.0,84,535,0.0,0.0,71,534,0.0,0.0,7.762453,1.180887,0.88155,1.581867,
1,1,Tobacco cessation at longest follow-up,Duration ≤ 1 hour,1,SUBGROUP_AND_OVERALL,Severson 2009,2009,0.0,0.0,0.0,0.0,69,392,0.0,0.0,18,393,0.0,0.0,5.932473,3.843112,2.332101,6.333137,NRT + telephone counselling vs NRT alone
1,1,Tobacco cessation at longest follow-up,Duration ≤ 1 hour,1,SUBGROUP_AND_OVERALL,Severson 2015,2015,0.0,0.0,0.0,0.0,154,357,0.0,0.0,116,356,0.0,0.0,8.549406,1.323867,1.093608,1.602608,NRT + telephone counselling vs NRT alone
1,1,Tobacco cessation at longest follow-up,Duration ≤ 1 hour,1,SUBGROUP_AND_OVERALL,Walsh 1999,1999,0.0,0.24148483365616055,0.0,0.0,41,119,0.0,0.0,21,131,0.0,0.05831492488594353,6.241915,2.14926,1.351785,3.417198,
1,1,Tobacco cessation at longest follow-up,Duration 1 to 3 hours,2,SUBGROUP_AND_OVERALL,Boyle 2004,2004,0.0,0.0,0.0,0.0,44,109,0.0,0.0,28,112,0.0,0.0,6.865319,1.614679,1.089248,2.393567,
1,1,Tobacco cessation at longest follow-up,Duration 1 to 3 hours,2,SUBGROUP_AND_OVERALL,Boyle 2008,2008,0.0,0.0,0.0,0.0,62,210,0.0,0.0,20,205,0.0,0.0,6.223237,3.02619,1.899274,4.821753,
1,1,Tobacco cessation at longest follow-up,Duration 1 to 3 hours,2,SUBGROUP_AND_OVERALL,Gansky 2002,2002,0.0,0.3623187653716062,0.0,0.0,16,74,0.0,0.0,11,60,0.0,0.131274887740405,4.488503,1.179361,0.592709,2.346672,
1,1,Tobacco cessation at longest follow-up,Duration 1 to 3 hours,2,SUBGROUP_AND_OVERALL,Mall 2021,2021,0.0,0.37897835752092185,0.0,0.0,30,103,0.0,0.0,8,103,0.0,0.14362459546925566,4.212503,3.75,1.806244,7.785494,
1,1,Tobacco cessation at longest follow-up,Duration 1 to 3 hours,2,SUBGROUP_AND_OVERALL,Tas 2020,2020,0.0,0.0,0.0,0.0,18,45,0.0,0.0,0,45,0.0,0.0,0.5053,37.0,2.297431,595.883045,
